sample	D300422	D300423	D300424	D300425	D300426	D300432	D300435	D300437	D300440	D300441	D300444	D300447	D300450	D300453	D300456	D300457	D300461	D300465	D300481	D300482	D300485	D300494	D300501	D300523
animal_x	G073	G058	G062	G063	G070	G054	G056	G072	G069	G057	G053	G066	G061	G075	G064	G055	G065	G074	G060	G052	G067	G059	G051	G071
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3
day	35	14	21	21	28	7	14	35	28	14	7	28	21	35	21	14	28	35	21	7	28	14	7	35
treatment_expl	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed
dpi	28	7	14	14	21	0	7	28	21	7	0	21	14	28	14	7	21	28	14	0	21	7	0	28
day_code	e	b	c	c	d	a	b	e	d	b	a	d	c	e	c	b	d	e	c	a	d	b	a	e
type_simple	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
L-Leucine	1603655.59739103	3608224.7793229	3131892.59439887	6337717.55031542	1486967.50618184	8836163.10553757	4188289.33428697	3824452.05983165	4494974.93836597	4563840.4465718	3475552.31509309	1769693.31519962	4816373.4666371	1606954.21563265	7841703.35648976	2263778.88014758	1309828.67168213	3085088.87979985	2952755.48582914	1776961.1687833	3260256.06358857	7054648.30350408	1157794.87815946	4254683.05008808
L-Aspartic Acid	1005058.8642132	661653.274827483	779320.909465667	929587.093138289	920048.288727338	447217.295723642	1039527.77545195	971768.201765695	736739.351256183	615821.399300956	536010.624578417	771148.328998793	874316.834727945	647521.834969359	896681.226674618	608045.155994973	1107785.17611349	527487.486710054	544970.958700881	696680.183668496	690048.956354395	625954.592609511	1347202.36203054	951064.048979147
L-Glutamine	1771454.26427527	3670542.01900543	5359723.34001028	3235553.65825539	2214284.54669907	5894027.37675744	2301847.09406418	4411529.42999696	5022086.28037474	2795464.13005243	2029362.7066742	3183535.0979939	2842413.74633187	1581252.12172164	5400479.28799967	2335004.23103788	1989845.92152973	1928151.18701727	2274727.70754603	4866411.6435795	4583481.83542189	2186200.79070556	3584689.7201903	4540931.45628795
L-Lysine	10970890.9086898	11047335.892471	6206629.26650756	10110072.312718	7169050.0113292	10792507.4710888	10165768.3517016	8857100.49416717	7087062.14280449	8678762.07942153	11470711.4250362	9006571.91309375	7783448.37505061	10582409.0757282	7771079.20837959	9695876.35889289	9653191.38336071	7648311.15725266	9415986.29461181	8967607.83229639	6990475.44661512	10658223.686716	2614297.31277052	7480649.32474331
L-Methionine	242565.242146338	564332.462851316	441555.437682058	696293.045025097	304892.823336987	1197546.75979863	690859.517435481	442572.85376963	148877.758413373	576311.020065491	593821.71314133	247509.770775659	787619.16049048	211412.100163845	742324.215400471	565765.530346351	150064.233242164	516751.605249447	517123.747536452	383293.257311881	388342.49088006	750480.009391312	54955.9929232345	304552.534482081
L-Histidine	4525468.117995	1372458.09680811	1593757.90570619	2108073.90686518	2933341.74873409	809289.259654231	1515340.65951002	5321997.30210937	1046109.41857046	775593.277699405	578041.863563818	1588659.79081663	1469482.01557195	2316102.61555469	1497185.20650568	704159.710608518	2193635.92114808	2254002.6025628	2180937.71822752	676442.353219579	1837832.23825312	700412.756118725	11381189.2410417	1629015.34611861
L-Phenylalanine	716413.966982705	10365258.1538847	1480611.43267531	5563986.58097753	1150153.2691087	6741073.34729636	1977082.75428962	1421902.03392616	2197242.94048869	1975836.27677789	4774521.23986172	1049883.76600229	3475704.22687324	1079236.07884678	2875225.64917164	3153075.02253599	716831.671609858	1684092.9102333	1058103.50467417	9801878.95347431	1691630.75364624	4068227.77902756	1260059.08268591	1909468.07877767
Pyridoxamine	249579.961647101	449322.575569912	577466.304045373	529966.656719258	288210.104716203	892083.100625539	975580.288091742	496696.046154849	101255.115137699	346865.31890438	705743.441668987	169487.489981909	396663.311997812	122901.502965179	228042.851556432	663651.74991081	110576.745843341	285331.203553211	245042.124157182	1051604.55788754	346959.037399082	449828.090940594	192135.456094815	144281.443266327
Pyridoxine	2087486.42708662	3913287.86434233	3921936.64188836	2114813.17789823	3482832.06339407	4878114.9814686	2525492.14921768	3399821.27881595	3010441.99159106	4557693.29833556	4015247.90988377	3880862.1873147	2109059.49778394	2625112.27570241	2950825.81610518	4385307.3126346	3173086.27042569	2727548.44742327	2971013.75240266	4980494.47792807	3256351.91185973	3294902.37666315	2283718.27736102	2551287.84566051
L-Arginine	8281958.35750022	7611270.03106938	5110216.74401275	4354636.68734505	4035548.7897233	7634323.95751545	7104520.85099242	9878629.67545339	5555579.21070519	5751465.17405771	7882565.35474656	5218184.32118835	4238808.08462958	5550689.5501145	5946475.82827046	4654466.8294375	5041920.15234666	6362504.52453016	4798724.25677231	5551596.86484064	5245183.54978157	8460166.56959024	6227694.77830623	4689225.95517544
L-Tyrosine	814685.068191438	4331901.21643192	631047.39383887	2317379.06103632	792102.599615176	1454378.45637801	979775.984204332	978882.06366507	931320.661194342	979970.339661157	3078266.29712778	723382.138613788	1882659.75781753	881282.863491913	1486118.73107163	2330699.72867868	891119.822729777	974864.39653066	701756.168687122	4424738.87183937	1013797.14472866	2121601.98382006	532863.313399842	1470215.37798913
L-Tryptophan	753847.02845627	1235323.32636588	781583.663299965	960210.4938505	553500.891693984	1005799.71543175	730805.378467265	966851.355606281	889525.280889141	747443.240092878	1164654.27761129	521827.675501919	1008217.58184259	541107.197307822	1042825.99973387	800717.607112177	444983.34558818	726538.080354775	557446.116916545	602887.573190743	873599.967817427	1472358.49287555	185741.677640595	1200992.40749429
Thiamine	679775.573716377	1493021.98056378	4411537.76236213	6454116.01590208	312300.518043791	5537109.03261028	783712.072677079	660915.546479349	407567.725498382	1539648.52850671	551194.119113796	278668.520431184	7820952.87865307	308916.200295837	5797994.37542582	885715.152827034	251141.764754415	94751.0799717825	2461460.11303506	2024028.23388784	743807.823767373	487264.724025797	1742219.7620015	1112766.24904624
Riboflavin	796567.288807183	480580.240756059	987606.661907592	1761670.22705866	1691703.00532091	35783.425705191	490443.952290997	954093.955075701	35162.0331034839	283979.834779277	272583.419042216	1117408.98719687	719204.447551009	279249.973629277	137982.312075797	1205526.5601399	473694.114317037	1122286.01327185	333898.06043706	63626.2626200639	1964507.0969427	994545.717550005	269195.911034275	24005.83573972
a-Tocopheryl acetate	5287150.41498248	2719206.8586813	5283396.68683611	6887891.00539979	6370224.634559	4104319.46568666	1475966.63389555	3906639.99489844	2615839.85447542	3165710.44862253	3827878.38215591	7336723.81447351	6556145.51773299	3492936.49381311	2907061.64263126	2369420.44032849	5907063.70426269	3272406.22609591	4704358.40229586	8429821.30645755	4689642.2724789	2604363.30753735	3248935.26515143	3098600.11993974
