sample	D300418	D300419	D300420	D300421	D300422	D300423	D300424	D300425	D300426	D300427	D300428	D300429	D300431	D300432	D300433	D300434	D300435	D300436	D300437	D300438	D300439	D300440	D300441	D300442	D300443	D300444	D300445	D300446	D300447	D300448	D300449	D300450	D300451	D300452	D300453	D300454	D300455	D300456	D300457	D300458	D300459	D300460	D300461	D300462	D300463	D300464	D300465	D300466	D300467	D300468	D300469	D300470	D300471	D300472	D300473	D300474	D300475	D300476	D300477	D300478	D300479	D300480	D300481	D300482	D300483	D300484	D300485	D300486	D300487	D300488	D300489	D300490	D300491	D300492	D300493	D300494	D300495	D300496	D300497	D300498	D300499	D300500	D300501	D300502	D300503	D300504	D300505	D300506	D300507	D300508	D300509	D300510	D300511	D300512	D300513	D300514	D300515	D300516	D300517	D300518	D300519	D300520	D300521	D300522	D300523	D300524	D300525	D300526	D300527	D300528	D300529
treatment	TG2	TG2	TG1	TG1	TG3	TG3	TG3	TG3	TG3	TG2	TG1	TG4	TG4	TG3	TG5	TG5	TG3	TG5	TG3	TG4	TG2	TG3	TG3	TG5	TG4	TG3	TG5	TG2	TG3	TG4	TG2	TG3	TG1	TG4	TG3	TG1	TG5	TG3	TG3	TG2	TG1	TG5	TG3	TG1	TG4	TG5	TG3	TG1	TG2	TG1	TG5	TG5	TG4	TG4	TG2	TG4	TG2	TG1	TG5	TG2	TG5	TG1	TG3	TG3	TG1	TG2	TG3	TG2	TG1	TG4	TG4	TG2	TG4	TG2	TG5	TG3	TG2	TG2	TG5	TG1	TG5	TG4	TG3	TG4	TG5	TG2	TG5	TG2	TG5	TG4	TG1	TG1	TG4	TG2	TG5	TG4	TG5	TG1	TG1	TG4	TG2	TG5	TG4	TG4	TG3	TG5	TG1	TG4	TG2	TG2	TG1
day	28	7	7	28	35	14	21	21	28	28	35	14	7	7	14	21	14	14	35	21	21	28	14	14	35	7	7	7	28	21	7	21	21	7	35	21	21	21	14	35	14	21	28	7	7	35	35	28	28	21	28	14	14	14	14	35	21	14	14	35	7	35	21	7	28	35	28	14	14	28	28	28	28	7	28	14	35	28	35	21	35	21	7	21	35	21	28	14	21	28	35	28	28	35	21	35	35	28	35	21	21	28	35	14	35	28	21	35	21	14	35
Niacinamide	311425.70734628	102067.612393694	1236392.93534256	141841.619829352	348550.927285158	514059.869982425	151032.213178976	11917.6202553436	483499.142671965	226456.391943494	122843.729720264	197824.651165992	213575.213711616	1569091.44193415	155712.721037431	149347.71695038	320565.758479828	130714.89759019	160780.817161875	28396.7119129004	244946.750440596	269996.636589911	264860.209267074	86607.9197901364	235265.07776692	396688.295168913	751618.593140015	157323.855472092	178330.329017127	15828.4976125823	344030.96573565	15272.9626051003	116653.945134934	220497.18485314	530062.606163167	100337.214334934	166063.366883225	27490.7097146058	328701.102492395	289284.692725982	1876416.46625993	149022.114156626	252455.888812132	488818.505445921	979656.569861223	363898.10574521	1265150.15721331	178864.923033031	166918.901965272	113039.78284775	203570.59538016	140824.940493597	823079.669613897	124890.381390274	221290.379510463	263768.101738438	232508.377066572	124923.819186731	139652.391944779	410724.98272264	237455.095505224	148748.595455072	22716.9287543849	491592.753213545	331320.461367333	431338.638572964	411502.570278378	201676.098105418	1015245.58664404	135509.669693829	240958.80157289	201695.746778111	132415.935229884	188870.444538458	317458.829454393	210047.391150753	387098.891876495	350398.241340988	203725.80179334	131078.293511509	198795.556488361	225963.555231606	1263564.15271235	19586.7537159931	305674.769108641	225891.641430094	470719.969713366	146463.070517535	127226.663027393	180862.812744429	263636.42816082	368732.691952948	125221.726523819	202927.115473063	277146.280009732	147400.376134768	260899.306436094	171389.614381078	311622.090261428	18572.9674734951	196630.678662661	321173.373487813	279304.465810424	299256.55167466	447174.258243691	130215.000816487	133206.270051643	269527.704721228	319387.854085846	163874.313862238	306719.268918141
Nicotinic acid	664168.607181333	3168102.23203533	2787949.00451998	677936.14532037	1074847.7609006	908916.259345418	2376930.17794068	4177731.81257774	592074.902301281	474383.982696421	281448.802185979	1186038.99042454	1325551.5662093	2349345.45493215	603135.858268064	514775.58833967	1866703.44224409	441280.131750961	450570.191880603	3548303.67431144	502797.064854138	281527.812349869	825165.139977871	390640.314205315	918179.062595122	1869188.25241145	1298108.4671187	1416353.32452597	302655.862604763	3332926.40848366	454729.280750552	3641654.00619502	837198.062048338	300371.358659894	1381148.12133285	1161912.7008631	591010.168388719	3413600.97404827	1193694.5964758	1982283.99217138	3067714.89317895	168890.210750327	375931.176628715	1451910.55563212	2780532.1636601	1433671.3106803	1647710.87701532	426977.764980407	192111.315911891	822052.478511312	759597.431797876	498594.999048409	1878099.33538146	442781.034992052	320108.118758472	1115078.57764594	254905.385994516	1857974.73254358	411144.400489453	1705294.72589833	2004664.09125776	553335.133070201	4025097.90540942	790777.62766703	983908.895315458	1205952.37569467	527193.328956075	310102.458872343	3559002.60356503	254137.871974422	447369.318022064	469039.615509607	291775.536494454	350722.147269549	702926.430415223	1372748.66424469	535313.436808654	894390.505984351	874267.848519607	787929.371874428	1058613.25999194	1405409.55497336	1461986.39182911	3510350.77230475	802965.760427609	278155.750961471	677462.519699909	232624.510504483	226942.415295867	439052.220654075	1058153.91341093	1212537.38249851	686233.902949216	506664.816717513	1088344.32396783	766718.065483408	1411658.67173628	679719.736623254	911016.986357349	4079543.99485089	463305.753463994	522041.851373789	1929775.21481166	1421111.79324555	817414.369231679	248778.956326492	1162122.46067091	2006167.77607909	390997.923307933	1072598.08027944	1166468.47018398
L-Isoleucine	279889.335299053	7935726.49185266	545825.378962695	945042.961655232	780547.004843001	922627.819456617	1074402.53333827	1528450.97059306	416118.931042324	418423.086251241	1513331.03572636	869137.171130638	686756.233600185	1370676.09277011	1337172.14506899	1266402.67540107	1357139.44878131	1384918.97505223	1903696.48882114	1165136.94434282	506768.90063502	1251833.32318776	1116254.50620431	1172867.94018572	2016733.81319274	905702.922044583	2668348.25430063	3290844.17099851	947539.254674793	1514671.78324888	315676.849571492	1179020.1949937	1497239.19413596	811132.907819291	498088.417877949	1339489.23190188	1419439.31462589	3029739.47815435	811978.147615953	1225649.40975361	572549.736642518	776502.786093615	582341.365596225	598900.094099136	2347582.3934759	1372303.04635096	851069.227451459	1215066.44642279	255464.488260705	1161458.52629911	1672793.97058337	1378368.73089363	207012.153068075	878483.851561018	550869.280284541	7075675.52639378	401145.541512348	1351946.62439139	3141086.27655717	1652442.13669657	878025.854729827	4171149.4630928	1184080.50726934	265379.226652471	1679492.2136061	2385281.75816569	1167300.99048807	911458.398493766	1186986.87851265	3544028.31484457	2115503.60639654	298397.637086242	1664003.47269051	1136054.42070909	3128692.3157166	1819802.96027604	747786.696849918	398374.196417206	1148553.76352078	893429.376786051	2140746.44066908	1968388.84378849	188168.794968089	1030567.4002579	1001303.67152901	269643.026801982	2960828.45823111	710698.226982525	792634.181673396	1336695.99197471	810229.812746511	585042.353898826	2009155.73283537	1109454.52309417	2015358.09591829	3584202.71534177	1180163.27819229	909073.51245175	3447726.04426046	3113546.84267046	705062.908041797	1434708.97072092	2885370.94420555	1954799.35666382	1463776.71433066	762463.74556853	1392064.80954019	4404205.91246458	622197.486905148	367241.443262067	1523312.03145023
L-Leucine	2730554.69631035	19261713.2690373	998892.861715815	1641011.40105695	1603655.59739103	3608224.7793229	3131892.59439887	6337717.55031542	1486967.50618184	5109987.30223558	2885936.05469826	2940200.11085543	1855519.58835166	8836163.10553757	4569468.1035871	5833618.98733462	4188289.33428697	5574748.42231552	3824452.05983165	13114556.2907069	3588137.86131115	4494974.93836597	4563840.4465718	4787010.85362374	5094200.52337183	3475552.31509309	8465906.85761186	9153347.58554029	1769693.31519962	10371561.7679582	2032140.93634104	4816373.4666371	2140346.21113651	2421747.58844878	1606954.21563265	1580513.39986819	5577910.97576615	7841703.35648976	2263778.88014758	3627420.06436035	1039652.03553243	2410369.82050706	1309828.67168213	1066095.35944397	7036093.35608849	2713565.63456357	3085088.87979985	2756111.4383924	1929995.70705302	1816502.91390632	3260478.54210511	5456786.32070131	1318931.93463213	4010831.2149036	1551616.12878331	17505997.2679763	1833400.64514708	3121844.99453284	6115498.23631068	3781260.35149649	4964210.389894	6693634.62127591	2952755.48582914	1776961.1687833	3246289.17631634	5594167.82829136	3260256.06358857	2569711.24732522	2733500.0869202	11412940.217081	4639337.7683086	2578120.93392536	4189342.86380882	2528114.38188709	7408303.32965815	7054648.30350408	2057683.17806165	3368673.97463099	2430629.90614994	1456788.21324585	4344553.90529256	9968502.45169153	1157794.87815946	8220143.25885052	1804642.3380686	3494669.362372	8372038.82435484	2002596.73254171	3124443.57744688	2652195.1065497	1462675.63270879	1389850.47675822	5598202.82877713	2304911.04106224	5091041.6546638	9404787.86866757	2646091.92847414	1607938.39322411	6273104.11151944	16552899.7773541	2845835.64252895	4051846.46280059	7724138.89630059	7693548.02377495	4254683.05008808	1107780.86135568	2281088.13360012	10976031.9167016	2788987.61737245	2266268.96635112	3101438.29483932
L-Aspartic Acid	579965.540376476	1276834.57078396	612477.29475459	466091.031581266	1005058.8642132	661653.274827483	779320.909465667	929587.093138289	920048.288727338	690798.064903636	761322.917644897	828336.525761822	359043.435788478	447217.295723642	854494.104335906	1111258.48459751	1039527.77545195	688805.217377429	971768.201765695	1218806.07373698	710156.488977672	736739.351256183	615821.399300956	760435.669741884	1954659.7376698	536010.624578417	1114128.06196368	1282400.23495853	771148.328998793	553254.887201038	412218.584126053	874316.834727945	948715.731314185	963523.738032352	647521.834969359	650725.512213325	1202762.84638572	896681.226674618	608045.155994973	1381482.12129061	454350.238889491	1118623.03605285	1107785.17611349	458010.022971917	304606.311097101	1958121.59220591	527487.486710054	594169.183875318	463720.695267809	867933.609154104	1145907.4374699	930715.381407998	1570898.9504055	1210625.79383326	492425.259903157	1327979.30146094	528177.846984808	689361.409021353	550323.55003456	1688896.58805782	642109.21135439	807637.134648214	544970.958700881	696680.183668496	1095803.71548717	1434982.84525233	690048.956354395	734443.749272791	368827.754169552	846429.007445318	1010656.55587088	861621.070596289	912309.211088197	271420.660586165	1798951.99400655	625954.592609511	637805.728990336	768397.578235855	797955.309557442	535298.503300695	1687953.68786875	886589.999325813	1347202.36203054	552881.751997181	822080.655650599	519771.638338291	1453514.43476746	668459.523827729	1213160.57500868	1334918.48690918	420826.77250661	512413.88265812	1103257.2701098	705707.317802773	968274.476717378	1064627.93646547	1544765.75089033	598512.78034476	917199.670890345	1069136.05830151	575725.872773092	958569.090695624	1689467.76257	1940835.6877928	951064.048979147	875043.607640057	741824.63877426	1254822.24499253	410067.831722451	866244.710282364	481365.615752152
L-Glutamine	3124975.50600726	4335321.87858008	547171.752822432	2043721.78411969	1771454.26427527	3670542.01900543	5359723.34001028	3235553.65825539	2214284.54669907	5191532.22656337	2012631.21850405	1413488.08895877	5309416.43647505	5894027.37675744	1720820.35740402	2943970.32212445	2301847.09406418	2074806.58696884	4411529.42999696	3905944.22867883	4583532.71278363	5022086.28037474	2795464.13005243	2289319.03642151	2423525.84167635	2029362.7066742	1979378.35610572	3690118.88350518	3183535.0979939	2365733.77533402	2854240.37730095	2842413.74633187	1061660.22008	2238813.86792341	1581252.12172164	696247.698738738	2238992.76258654	5400479.28799967	2335004.23103788	4785194.16952418	535089.168006037	2913995.40603783	1989845.92152973	1687824.84987286	2755939.02416544	2121663.49265467	1928151.18701727	1289146.96897271	3192489.57284524	755739.02640458	2380836.77323979	2940182.36025341	3842208.77238422	2828547.51090107	3000452.17772532	2091710.14889406	4115162.25538226	4052035.96170503	3391913.35008854	4487310.611545	1010430.7083012	4314340.87904375	2274727.70754603	4866411.6435795	4046020.17537444	2774582.49327244	4583481.83542189	4907294.05445122	1217745.94343146	2814809.89332328	4607026.10758045	2661899.98593064	4731847.64376912	2594471.97911278	3524195.07536314	2186200.79070556	2650241.11580469	2197337.42486797	1275949.13581939	981553.949570609	2562744.29237127	6131800.40287357	3584689.7201903	1807677.56554778	1595869.14455961	3755798.51745883	4911478.1329123	2690426.83294109	2901841.03145967	2521346.48738621	2368072.03654067	1460965.62404458	2366536.80772696	2007359.81734357	4262581.85247963	3448115.68622428	3049044.86297741	2573153.82949376	4836005.50118912	4834274.62140835	3482730.39422694	2121878.39112969	4063216.65975771	11489500.2626384	4540931.45628795	1993521.06009176	1756387.70453029	2897335.4961096	3755052.53522997	2224671.58931255	3523615.9929317
L-Lysine	8928741.69003512	7039952.98119514	8349086.81014818	7158019.39997733	10970890.9086898	11047335.892471	6206629.26650756	10110072.312718	7169050.0113292	8354744.65499438	10733052.2064489	9474281.08431201	7596704.00265616	10792507.4710888	10120788.2242458	6567615.58767064	10165768.3517016	7449655.69409057	8857100.49416717	10451011.1472425	7124447.33150754	7087062.14280449	8678762.07942153	8729426.96995282	12974873.1035337	11470711.4250362	9588120.42553107	9535028.13843947	9006571.91309375	12772473.3256979	7922343.25166135	7783448.37505061	6092256.48039606	7695188.40791785	10582409.0757282	5577929.67943132	7567586.69226065	7771079.20837959	9695876.35889289	9620910.09631155	8810684.04629258	9890193.4853319	9653191.38336071	5570949.42486609	8776605.14171928	9310833.28115798	7648311.15725266	8949321.31142182	7484192.73327397	7088876.36379133	9538323.41470665	6302194.07567438	2520643.0159973	7729221.01205863	7033395.64092404	9836003.24337051	6528366.14937477	6604626.35944467	4937873.65126224	12115123.4885565	15144277.1991046	10267686.255417	9415986.29461181	8967607.83229639	7515972.14806658	12864258.7317253	6990475.44661512	6815216.32156269	7599441.52195719	7481205.91108049	7137298.84794426	9944967.42151654	7572725.46620813	8060503.06848241	8997122.50904832	10658223.686716	7587804.10342744	7828176.21155707	10472267.2406304	7711730.7177928	11428046.3093744	8322117.91536983	2614297.31277052	11756933.822209	11908581.2865599	8028856.06487382	6316917.2251501	8363575.65246357	8369024.98294586	10536553.916272	8458496.33526578	7677461.56769097	10384546.4217288	10670596.1898635	7196531.01885614	9078705.95413994	12390326.988426	8324169.06554577	12126568.982177	12572751.2501738	8937125.87831947	10138975.1701605	11941639.8878904	8679990.64579695	7480649.32474331	12056867.477059	6732488.68750725	12189293.0714803	6879228.21306153	11376053.9497055	9095197.15103665
L-Methionine	358893.933618079	658177.663928995	197114.760398641	255298.671483289	242565.242146338	564332.462851316	441555.437682058	696293.045025097	304892.823336987	264242.856369474	233608.548145041	342704.590049878	307080.898518374	1197546.75979863	393533.328045176	671434.566718886	690859.517435481	469353.052013496	442572.85376963	1461994.77339001	227136.297781357	148877.758413373	576311.020065491	334112.975849729	127122.900183494	593821.71314133	668503.040057962	827338.529498647	247509.770775659	1475413.07021753	368274.506807276	787619.16049048	269892.576002705	392809.770978289	211412.100163845	333145.826055841	455930.083002941	742324.215400471	565765.530346351	299583.710431188	172707.140740851	175445.822444572	150064.233242164	239372.549154605	1089873.13232229	300121.737308853	516751.605249447	166114.099470919	197415.459380452	211362.288634827	183643.699376869	502232.698838052	77028.9600302007	413245.797275298	262443.284643278	354208.885096968	264623.624501343	371094.905945182	445691.453798681	449735.090372218	492964.49800294	415289.651633178	517123.747536452	383293.257311881	260403.001200948	554914.139737895	388342.49088006	289656.443631112	277737.465354941	245642.964976561	425745.967917384	157951.128024143	356764.858003546	307520.609856946	705883.751410953	750480.009391312	300615.785626384	358257.760690716	271654.698490455	124992.966625289	183907.459659142	1115002.16607175	54955.9929232345	1275313.2702591	88180.8715169535	265139.025981143	1084067.11003811	154348.973611845	302199.070165458	244766.843370771	226423.381725878	256895.949543423	529186.290000908	344949.554034678	578809.139231097	372558.214369412	108877.357898088	191646.837338651	105221.193703615	2276674.89684362	152065.221020475	504863.11784902	628824.176109737	822141.963801651	304552.534482081	169045.996048464	340135.400902577	373965.02181394	351893.906949032	161097.584515729	433754.940564701
L-Histidine	1057888.27271522	929033.709911488	585351.546441363	2125533.96878918	4525468.117995	1372458.09680811	1593757.90570619	2108073.90686518	2933341.74873409	1163372.60271581	2033926.72015983	672159.00908077	527305.472576628	809289.259654231	1720011.84421104	1670604.02128958	1515340.65951002	1148154.47090934	5321997.30210937	1310019.9343662	941606.179279076	1046109.41857046	775593.277699405	1448424.9660013	3570063.18342411	578041.863563818	1704796.46718169	941427.799017327	1588659.79081663	937398.456768025	668741.07557626	1469482.01557195	1246193.70437996	642448.67857168	2316102.61555469	1024546.60853901	1510726.84550312	1497185.20650568	704159.710608518	2285500.48391235	630815.78129374	1070038.81325308	2193635.92114808	448646.629305754	497474.483524184	3617492.07633915	2254002.6025628	2193651.07045298	756319.960365401	1448084.78853015	778742.568339899	1153160.71332077	10672120.9794519	1390187.96673524	860444.959111426	1470687.91361005	1030444.30921351	1262135.05750073	1095285.53024539	2438913.00321729	1387882.84674197	3033100.41100714	2180937.71822752	676442.353219579	2479508.60796649	3274419.082784	1837832.23825312	1092978.36770028	713026.287825621	890392.01063784	1057207.85062152	815972.799562368	1153987.96646739	437285.903205094	4293749.97462522	700412.756118725	944387.492463253	1218964.4166367	1208463.33025644	907349.415965754	1399225.99728665	1469161.1892466	11381189.2410417	592740.56020986	1554722.19345636	909643.603261943	1548295.39584059	1195881.4306336	1307679.29662073	1498989.03551748	2761240.46835575	2283808.69348441	1512668.31071538	3180941.87698502	2074787.13689484	1363518.78188752	1291594.17704219	2460825.34478016	2450148.99370532	1136767.90447393	963102.174716621	1287748.52862478	2313838.5337266	1810763.67125376	1629015.34611861	815474.126088151	1204375.59771752	2295184.62508437	867454.16350267	759793.847812488	3150232.79623692
L-Phenylalanine	1066576.88612189	21991965.2249056	817680.78941111	528435.039831676	716413.966982705	10365258.1538847	1480611.43267531	5563986.58097753	1150153.2691087	2019043.54963826	681458.30512943	11510642.7539203	765026.569402659	6741073.34729636	2050994.73216014	2574471.47946549	1977082.75428962	2216250.80663464	1421902.03392616	8482253.88565525	1623982.28049608	2197242.94048869	1975836.27677789	1873840.00900255	14245490.2242886	4774521.23986172	7310025.60177609	26192959.1192468	1049883.76600229	18075241.508035	727284.939808773	3475704.22687324	1883922.09856307	9746621.61352549	1079236.07884678	1005837.47107135	2637413.5609966	2875225.64917164	3153075.02253599	1871747.41076342	480322.134387448	2274354.51741646	716831.671609858	555864.684311891	2940726.32576084	1112565.44215972	1684092.9102333	646761.506881542	1225876.35769487	1332456.80413608	1433684.91587871	2356668.23183426	1338805.67283221	21447506.6376155	955339.135261436	13487627.1145673	767847.278939821	2686876.16699784	2673541.36237018	5060518.38129713	1816818.5980672	1339175.85071551	1058103.50467417	9801878.95347431	835750.543788883	4139621.78482747	1691630.75364624	1862486.10297632	1753630.50505713	7132264.91681859	3600457.7042684	2071580.82348585	6492338.74270179	798089.409740587	4234876.1577415	4068227.77902756	753097.476398554	2101855.67446477	1361944.27807352	985032.66670117	1623591.13827129	3950385.79224954	1260059.08268591	12038492.0312555	819601.662471136	1553725.38061354	3969178.65151784	1419908.27490389	11604854.4804119	13417966.5249991	608551.385326433	525748.264666951	2377164.47200524	2386788.84815697	2325329.26244287	7882331.11051679	1233173.65460769	577127.705671266	968064.798713094	13124521.903876	1415680.0819498	1744189.10133197	13175244.2082315	3482310.87767105	1909468.07877767	606643.188351384	1537512.0705063	16225612.8451383	1151120.46181054	1647480.63786534	926076.792379052
Pyridoxamine	646390.725258399	1840993.36020706	958096.893391971	345111.695915348	249579.961647101	449322.575569912	577466.304045373	529966.656719258	288210.104716203	813584.137124795	338494.39315047	561574.717660536	236149.455867658	892083.100625539	282893.809678226	460646.478374191	975580.288091742	301483.279606043	496696.046154849	2493369.60594295	546015.934967975	101255.115137699	346865.31890438	223472.210147743	57918.3555456089	705743.441668987	593168.560979048	608684.41841627	169487.489981909	1814043.9344154	1386315.86294812	396663.311997812	479144.767910037	610426.426107682	122901.502965179	549059.585129004	452964.848846362	228042.851556432	663651.74991081	803118.893497375	504472.567059328	163428.833000073	110576.745843341	506392.900647314	785521.862989626	581684.80972335	285331.203553211	344975.118337439	629392.895871739	200071.38641957	31639.6249885922	469061.52122348	324514.473647928	776375.191798683	309898.629282619	254202.685310238	1180066.73992195	766505.854904999	255655.26580998	571155.512062168	533885.876023359	653165.194284023	245042.124157182	1051604.55788754	475000.774041387	180298.493944078	346959.037399082	315276.875392808	544826.602693063	471953.98510528	445729.157140608	510898.056802616	614285.392594236	369681.30355802	495066.003216915	449828.090940594	899374.541763319	487375.06708566	563641.458207442	105606.386167676	140385.460874228	567250.678896845	192135.456094815	1654100.43723601	682037.752338926	672857.344649173	1085596.8140436	296269.478968665	283304.078698848	321736.32077964	412759.381267434	461392.293397824	227346.762436848	440031.642903437	985026.527963132	302901.709624092	118307.37503597	404782.078017688	237162.375746882	1680234.14857332	172703.590015863	448234.519184923	398633.185919735	964557.831810471	144281.443266327	178799.540444723	761257.977551184	644554.978924829	238518.020744862	193925.413510317	652172.438660954
Pyridoxine	3974828.69197762	4963150.73574374	5335448.86312373	3317341.89509854	2087486.42708662	3913287.86434233	3921936.64188836	2114813.17789823	3482832.06339407	4314141.60088896	3447622.42076495	2178192.03967861	6660182.28762723	4878114.9814686	2401290.2386885	3521303.53212938	2525492.14921768	2202046.78336295	3399821.27881595	2975084.49450213	4414658.25161292	3010441.99159106	4557693.29833556	2403713.66362705	1824748.209968	4015247.90988377	2657681.17558808	4205986.69409818	3880862.1873147	3821335.53433362	7386129.64650482	2109059.49778394	3649583.5877486	5197549.9306895	2625112.27570241	3269727.76363976	2791709.53607913	2950825.81610518	4385307.3126346	3288242.81473194	2634174.327525	2872230.20370762	3173086.27042569	5788857.02998048	4115487.60738728	3399847.86114226	2727548.44742327	3989113.87613998	4191815.30690914	3534622.98642538	1321875.13355728	2450589.16984614	2749033.00090765	3769392.54355532	3808113.80210156	2737750.5766676	4714177.35559005	4376536.6101539	2268682.72990764	2011634.88211474	2391049.71557324	3251342.9846429	2971013.75240266	4980494.47792807	2306119.39485081	1932112.53599355	3256351.91185973	2514676.10636781	3301746.64914828	3145205.08357929	3267884.64600519	3352053.16086574	3339384.24707639	4426404.85505233	2713607.58740909	3294902.37666315	3972411.65871417	3362459.17728703	2779071.04253652	3603355.0073258	2071732.21951493	4957042.42982681	2283718.27736102	3356753.98720308	2853758.34907422	4119306.89416245	2807323.00466627	2458691.60837925	3459365.53419021	2923985.30450849	3099145.49998754	2729609.64622016	2735859.07873496	2922232.45211368	3336337.76200838	2120192.06799712	2559067.94717525	3266604.9668769	2737868.15116087	2664884.26938825	2847558.88387865	2826920.36279179	2432949.09442918	4251138.00379341	2551287.84566051	2798480.9348707	4007835.94053623	2531327.98806651	3545367.0630187	2712981.48897422	3930989.76303167
L-Arginine	6445564.43508063	5267436.90018537	4477350.14516451	4422529.02984121	8281958.35750022	7611270.03106938	5110216.74401275	4354636.68734505	4035548.7897233	7898685.27792605	6914113.68114786	5680846.5793111	4013268.88164862	7634323.95751545	9259658.6926379	8009678.26641639	7104520.85099242	6612732.79622935	9878629.67545339	9756206.14503782	7303672.96538768	5555579.21070519	5751465.17405771	6753825.66944873	12325874.7636285	7882565.35474656	8905533.92431001	9197593.04964489	5218184.32118835	8342693.93852517	4981799.5932525	4238808.08462958	4600717.05672179	4767501.187372	5550689.5501145	2557303.21387435	7219520.05059528	5946475.82827046	4654466.8294375	7574636.19093601	2876824.2145309	7393321.75796353	5041920.15234666	2771855.43290166	5866269.36629796	7156602.74099851	6362504.52453016	5568490.32857658	5650550.96231286	4382834.9414142	8584222.43990046	7317095.67420964	6658185.95089014	8034442.80758192	4785876.08104247	8727182.25624892	4215411.64628277	3625572.79881171	3743620.94418667	10139930.796488	11619406.217525	8146033.44955926	4798724.25677231	5551596.86484064	6794638.71972089	13496618.3452745	5245183.54978157	4670954.19309638	2226143.07367082	5732182.025824	7165322.35630783	8722564.51356617	9494966.63632845	3794594.4721176	10032871.817692	8460166.56959024	4885399.08654328	8000486.22106428	8594715.39744077	3653772.78659701	9121889.97323241	9935035.26302761	6227694.77830623	4797242.01524642	11306250.1036264	7574712.02856434	9116631.45502499	5073449.9169564	7152918.91657098	10124691.2673049	5262362.99384756	3748090.81706083	10532432.1297785	10495910.6585697	6115570.54488444	7789545.39357294	9212572.45898847	4310493.01149305	9796903.56441032	10578106.6179656	6921887.98645702	8254736.4511971	10983682.0334478	12667652.7005935	4689225.95517544	9331852.12768122	4291712.38622843	11203716.9908897	4001578.67990599	5969634.94017545	5466990.96836613
L-Tyrosine	737906.120485865	2938962.83675836	376374.231336048	407624.366220221	814685.068191438	4331901.21643192	631047.39383887	2317379.06103632	792102.599615176	828704.902526643	632785.722057302	3399992.6266781	265559.604587513	1454378.45637801	1994692.43385917	1546472.7662768	979775.984204332	1522819.76382284	978882.06366507	3080580.60526598	1005025.2432392	931320.661194342	979970.339661157	1699028.73344156	5099280.10167263	3078266.29712778	3629058.29040558	4103839.65416823	723382.138613788	5205200.99642182	462266.471920656	1882659.75781753	676358.324937445	2465049.3907899	881282.863491913	427363.05488429	1588435.76397552	1486118.73107163	2330699.72867868	1110661.51349336	374898.276490196	2283037.82119031	891119.822729777	359246.998160812	1177923.47876821	799052.748349736	974864.39653066	452328.508924273	692634.919840204	463288.425812592	1341896.48590345	1615632.21981295	647789.534250806	5420918.30688281	471502.748025865	4255809.69393704	374557.463944845	672153.312981055	1415201.54134181	3199054.36948259	1906259.5702671	945328.496618071	701756.168687122	4424738.87183937	605079.275620129	2544805.22503206	1013797.14472866	601438.732166651	526227.279512977	1709515.04061512	1915255.03443344	1439298.82546443	2946196.44209949	368581.656932176	2308551.44272849	2121601.98382006	656204.241988148	1208050.32451239	1293202.31571859	341450.402791481	1533389.56479911	1330194.07494476	532863.313399842	3892372.05318958	1534082.74693483	918253.988013204	1783028.20587097	536540.631703852	5251982.40456656	4441167.00326949	428142.431672516	328951.773787001	1910604.4356272	1961502.89105271	1157299.32251682	3189859.33885665	1154861.9086068	392844.86918001	923467.435880421	3761603.58873876	805607.76834545	1125861.83482833	5214644.21535083	1096362.6924642	1470215.37798913	1143189.70431666	519878.358243316	4757633.96134022	397442.551695511	1070405.43006612	573342.874455709
L-Tryptophan	724290.356057351	1782147.95886323	838408.858547822	516201.872562084	753847.02845627	1235323.32636588	781583.663299965	960210.4938505	553500.891693984	943710.799643757	584057.223898694	898179.416243205	434022.43457541	1005799.71543175	1712794.66167003	1378426.9330873	730805.378467265	1606673.24901231	966851.355606281	1949337.13794327	795496.869155635	889525.280889141	747443.240092878	841761.606325392	1470704.7827455	1164654.27761129	2763316.13630342	1367088.02217881	521827.675501919	1337547.7534244	470066.763120062	1008217.58184259	700905.210597447	760897.758845948	541107.197307822	518074.659057941	1130461.24050191	1042825.99973387	800717.607112177	737592.617557651	734133.770958564	978629.013763349	444983.34558818	650422.519583101	1028292.8139725	624959.315670022	726538.080354775	827324.784042501	1045592.63707388	603873.946360258	710300.823327402	1000530.39078409	169438.67518823	791227.789052669	731037.557535761	1431215.60654963	531961.903274303	836231.77662746	1140742.64856998	1002834.32710448	1088099.02812471	920573.975237931	557446.116916545	602887.573190743	824952.992775286	874416.979500298	873599.967817427	946341.778649654	676495.749508391	616716.164661172	1061073.46982657	679165.313314196	1029570.58431557	485479.097576841	1648267.29678674	1472358.49287555	595405.465835309	1102213.26361565	539703.721834996	731815.276706748	677719.530673236	1518710.29238708	185741.677640595	1324227.417589	527840.950359791	1137060.10204287	1458030.17137279	875890.784287388	908265.001409171	1145962.74223713	527565.273119213	483945.584089889	1179691.31079989	660873.92568649	1266711.5071647	1082314.13478378	685302.366041993	387045.586719337	899659.133867964	2319915.71739288	968307.758773341	1151889.72812671	1389787.65261727	1014373.65057131	1200992.40749429	795969.034604715	628647.406451426	993144.959102352	491432.849435242	732086.452498767	1153875.91526452
