sample	D300422	D300428	D300437	D300443	D300453	D300458	D300464	D300465	D300474	D300478	D300480	D300484	D300495	D300497	D300499	D300503	D300509	D300512	D300514	D300515	D300517	D300521	D300523	D300526	D300529
treatment	TG3	TG1	TG3	TG4	TG3	TG2	TG5	TG3	TG4	TG2	TG1	TG2	TG2	TG5	TG5	TG5	TG1	TG2	TG4	TG5	TG1	TG4	TG3	TG4	TG1
L-Asparagine	51363.1497354544	71441.7611023157	63255.4750659907	63610.5067566782	37279.4881075627	68606.1266565765	24777.9531866232	33536.3203845067	78683.1677742281	113439.112345225	93846.1383520565	67973.5374879755	44185.4790493865	38148.0414021217	18142.2584671992	48108.5722361184	70015.9292584687	57340.2609735648	67937.4610304372	35146.2911934052	106991.855519265	110969.647290303	55797.8263877972	78333.6641326378	90921.760957879
L-Glutamic acid	6066042.22212925	3327704.06417168	5249850.08037904	9346719.01373851	4679131.0308772	4291025.58722113	3446288.60895411	4389915.45483815	6971048.89960895	11407073.1771475	5177221.59786423	10373098.2680033	3006847.36191136	3687177.28819695	4477989.80309637	3846286.57761951	5138376.45795444	7328111.00153341	5216741.18978658	3318750.80475557	3904586.43473892	7433119.44992929	5614728.42434871	5902004.47467481	3523988.08099889
Pantothenic acid	55046.2636228555	30849.5929788717	40145.0591788884	49303.0642226417	53330.4752151302	75781.4756387175	69232.5900608821	83279.5154052794	38296.6506701819	121860.232344966	34343.3984965351	132548.262383502	42623.4316922627	70639.410559495	56576.1033861169	76871.8594369182	23256.2314386145	53292.7285907438	31434.7972903658	95767.2234399979	45425.715733282	78843.4893557653	49323.9189762402	58649.390219574	31369.1143654671
L-Alanine	15379.1662859155	20537.4702793975	36645.5317310026	21908.0070534634	21340.1959657982	41448.0616627251	42761.5643288423	30980.8311219687	25544.4957400908	68708.686247842	37757.9166972901	55232.2618864714	23807.5385943683	15278.1703039111	40560.6524383936	20995.3003379592	17438.4239166084	15228.2590486637	47486.0707581583	41931.3164060292	56114.6125817295	45103.3534816654	37010.9481184684	33510.0969023377	50771.0010902399
L-Serine	85776.3956679628	103771.960553636	281777.405742785	138745.438020703	89145.5167444777	307652.951830751	360075.648506558	199491.475854473	162399.140104891	307892.153676312	272235.268840785	343834.093579655	152473.446338229	158506.486777146	654173.576512091	332691.619618051	93180.0038547216	152834.151249572	258614.991516276	365669.338376425	354784.599344428	567681.011651232	976738.027028843	221340.207272775	232218.065767815
L-Proline	15921928.2207477	13406200.2374728	17178234.8090344	17203479.2952955	27324742.468153	13275217.5429157	66541297.9007787	27952971.4095882	16948560.7500501	25697006.8396592	18817815.9388492	26186005.1596274	15881893.9018255	27313934.2628847	23732365.7478573	32339378.0244238	16690967.8735789	16530238.3398971	16091505.1743218	27479413.0930823	15675495.967069	18985765.343811	32767208.8884666	16813174.6648037	16521306.2212459
L-Valine	2160281.42850661	2458323.66726031	3560269.89769694	3370473.77836607	1670243.94225791	4077071.81287503	1274263.29104552	2311152.88682523	10498214.8864025	3191309.33336894	5263210.58899694	3248159.08155305	2708411.72183357	1701518.43888354	2982403.01996402	1071228.60128819	1974765.4135151	2110369.50058678	4037457.3598163	2881141.76671836	5807263.82458739	3428072.10282193	3090843.23935542	5982769.10348382	3223522.59200952
L-Threonine	637921.517652106	968291.676720186	1000186.40405516	1109500.86773465	507299.957797631	928081.323646823	1103338.87546518	708781.097332616	1156147.04783242	1184666.03575901	1399034.79332084	1278057.14044163	794545.83444762	669131.108252029	1188287.26208451	820249.299794203	614121.751190649	776335.993665195	1268830.79319397	892947.565854585	1706118.80482168	1847447.18760237	1027320.12851255	1278720.17923322	1084855.3701308
Niacinamide	348550.927285158	122843.729720264	160780.817161875	235265.07776692	530062.606163167	289284.692725982	363898.10574521	1265150.15721331	263768.101738438	410724.98272264	148748.595455072	431338.638572964	387098.891876495	203725.80179334	198795.556488361	305674.769108641	263636.42816082	202927.115473063	147400.376134768	260899.306436094	311622.090261428	279304.465810424	447174.258243691	269527.704721228	306719.268918141
Nicotinic acid	1074847.7609006	281448.802185979	450570.191880603	918179.062595122	1381148.12133285	1982283.99217138	1433671.3106803	1647710.87701532	1115078.57764594	1705294.72589833	553335.133070201	1205952.37569467	535313.436808654	874267.848519607	1058613.25999194	802965.760427609	1058153.91341093	506664.816717513	766718.065483408	1411658.67173628	911016.986357349	1929775.21481166	817414.369231679	2006167.77607909	1166468.47018398
