sample	D300433	D300434	D300436	D300442	D300445	D300455	D300460	D300464	D300469	D300470	D300477	D300479	D300493	D300497	D300499	D300503	D300505	D300507	D300513	D300515	D300520	D300524
animal_x	G105	G111	G103	G108	G101	G114	G112	G123	G116	G107	G106	G104	G120	G125	G121	G122	G119	G110	G113	G124	G118	G115
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5
day	14	21	14	14	7	21	21	35	28	14	14	7	28	35	35	35	28	21	21	35	28	28
treatment_expl	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
dpi	7	14	7	7	0	14	14	28	21	7	7	0	21	28	28	28	21	14	14	28	21	21
day_code	b	c	b	b	a	c	c	e	d	b	b	a	d	e	e	e	d	c	c	e	d	d
type_simple	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
L-Lysine	10120788.2242458	6567615.58767064	7449655.69409057	8729426.96995282	9588120.42553107	7567586.69226065	9890193.4853319	9310833.28115798	9538323.41470665	6302194.07567438	4937873.65126224	15144277.1991046	8997122.50904832	10472267.2406304	11428046.3093744	11908581.2865599	6316917.2251501	8369024.98294586	7196531.01885614	12390326.988426	10138975.1701605	12056867.477059
L-Methionine	393533.328045176	671434.566718886	469353.052013496	334112.975849729	668503.040057962	455930.083002941	175445.822444572	300121.737308853	183643.699376869	502232.698838052	445691.453798681	492964.49800294	705883.751410953	271654.698490455	183907.459659142	88180.8715169535	1084067.11003811	302199.070165458	578809.139231097	108877.357898088	504863.11784902	169045.996048464
L-Histidine	1720011.84421104	1670604.02128958	1148154.47090934	1448424.9660013	1704796.46718169	1510726.84550312	1070038.81325308	3617492.07633915	778742.568339899	1153160.71332077	1095285.53024539	1387882.84674197	4293749.97462522	1208463.33025644	1399225.99728665	1554722.19345636	1548295.39584059	1307679.29662073	2074787.13689484	1291594.17704219	1287748.52862478	815474.126088151
L-Phenylalanine	2050994.73216014	2574471.47946549	2216250.80663464	1873840.00900255	7310025.60177609	2637413.5609966	2274354.51741646	1112565.44215972	1433684.91587871	2356668.23183426	2673541.36237018	1816818.5980672	4234876.1577415	1361944.27807352	1623591.13827129	819601.662471136	3969178.65151784	11604854.4804119	2325329.26244287	1233173.65460769	1744189.10133197	606643.188351384
Pyridoxamine	282893.809678226	460646.478374191	301483.279606043	223472.210147743	593168.560979048	452964.848846362	163428.833000073	581684.80972335	31639.6249885922	469061.52122348	255655.26580998	533885.876023359	495066.003216915	563641.458207442	140385.460874228	682037.752338926	1085596.8140436	283304.078698848	985026.527963132	118307.37503597	448234.519184923	178799.540444723
Pyridoxine	2401290.2386885	3521303.53212938	2202046.78336295	2403713.66362705	2657681.17558808	2791709.53607913	2872230.20370762	3399847.86114226	1321875.13355728	2450589.16984614	2268682.72990764	2391049.71557324	2713607.58740909	2779071.04253652	2071732.21951493	2853758.34907422	2807323.00466627	3459365.53419021	3336337.76200838	2559067.94717525	2826920.36279179	2798480.9348707
L-Arginine	9259658.6926379	8009678.26641639	6612732.79622935	6753825.66944873	8905533.92431001	7219520.05059528	7393321.75796353	7156602.74099851	8584222.43990046	7317095.67420964	3743620.94418667	11619406.217525	10032871.817692	8594715.39744077	9121889.97323241	11306250.1036264	9116631.45502499	7152918.91657098	6115570.54488444	9212572.45898847	8254736.4511971	9331852.12768122
L-Tyrosine	1994692.43385917	1546472.7662768	1522819.76382284	1699028.73344156	3629058.29040558	1588435.76397552	2283037.82119031	799052.748349736	1341896.48590345	1615632.21981295	1415201.54134181	1906259.5702671	2308551.44272849	1293202.31571859	1533389.56479911	1534082.74693483	1783028.20587097	5251982.40456656	1157299.32251682	1154861.9086068	1125861.83482833	1143189.70431666
L-Tryptophan	1712794.66167003	1378426.9330873	1606673.24901231	841761.606325392	2763316.13630342	1130461.24050191	978629.013763349	624959.315670022	710300.823327402	1000530.39078409	1140742.64856998	1088099.02812471	1648267.29678674	539703.721834996	677719.530673236	527840.950359791	1458030.17137279	908265.001409171	1266711.5071647	685302.366041993	1151889.72812671	795969.034604715
Thiamine	250806.67546802	841287.107053876	577744.142277456	705682.586457115	317221.805884352	623314.550624421	448822.468361863	59263.531251337	52817.8418404115	1314499.48998977	806185.892527081	776722.778722778	203810.65674581	117566.91780349	16185.9371933174	26189.6968821212	512785.702184162	327232.16347521	3107009.98258691	58423.3345337449	43536.2410848922	190224.203448771
Riboflavin	2201895.58845087	2148043.11144938	1179512.84626361	724712.466101955	461589.137842975	2806758.64973506	862641.136509557	1801727.28498662	25635.2190787053	3517898.07396628	1592152.72423403	131424.68021414	980401.309414324	3328424.46250762	267237.429832104	2983463.31478259	1518622.38754198	1608428.4480301	948534.468228413	73485.5132668478	1946786.13093292	932884.679987542
a-Tocopheryl acetate	2360612.96241754	1415146.3691955	2958224.24011826	2794936.77538633	3442199.23182382	5839304.92434001	6948238.22206904	2620471.09414566	1530631.52413023	1981559.56645776	3346559.36555998	1776268.68814504	3590690.918867	5530779.69658584	3165716.1058806	4783585.32316124	3252277.1347855	5887486.35539917	5007303.36270774	3914898.5412934	6837429.94932361	8404298.83821655
