sample	D300418	D300421	D300426	D300427	D300440	D300447	D300461	D300466	D300467	D300469	D300483	D300485	D300488	D300489	D300490	D300491	D300493	D300496	D300505	D300508	D300510	D300511	D300516	D300520	D300524
treatment	TG2	TG1	TG3	TG2	TG3	TG3	TG3	TG1	TG2	TG5	TG1	TG3	TG4	TG4	TG2	TG4	TG5	TG2	TG5	TG4	TG1	TG4	TG1	TG5	TG5
L-Asparagine	41717.3822180341	42407.5366733871	38157.8584709551	68670.2036395918	52893.3598415371	40055.6678442295	37691.6209100308	72925.4935240999	43756.6651312794	35796.144863674	56256.8214440294	58169.8566388941	40777.5775535632	93764.719512402	47995.1074240497	109457.39122474	51906.6248400072	41206.1052491237	73625.6383638053	75881.9967138993	34686.3965528695	62053.9988461128	39923.5992712477	44964.1460312401	41837.4758089825
L-Glutamic acid	4108355.08156706	3384924.72778087	3751145.66650459	2161282.07582736	2467230.98689459	2773040.00468302	3295707.57729069	2155364.12184883	1840824.36404809	4734023.61359565	3141929.60955853	2753975.1042514	2863847.97634779	3339636.94696108	4127829.21470121	5255181.553719	5397017.71707913	4549489.34833628	4544014.12652766	6191130.80647628	3379609.05854575	7276669.69633144	4782826.71152587	3661020.48278372	3847137.90821618
Pantothenic acid	30849.8221000725	30539.6678355151	49462.3547119726	54712.9684317266	104630.147271539	20365.127050301	27689.6788863403	20569.2258235094	18410.5120216343	92384.7759961705	67986.6861378991	40659.7059006238	16932.8179521444	41039.4555975581	30527.3571469615	40326.9688471053	114678.39635608	59268.9730435486	108588.908894652	19845.883990869	26778.2835110701	59841.7648323416	52135.7881860269	58268.6277743552	38383.9117732477
L-Alanine	29915.8367929578	34946.6193020637	12037.503099832	52107.2957169175	36973.2318443665	19011.6088695178	22685.7938422241	34747.9487887389	20861.4881965072	28262.3979164056	66772.6615528395	33310.661844478	30850.9595227431	40874.9480196597	24999.6241627753	43980.955334552	55339.139716401	32678.3370326726	40839.464197385	19522.6550246362	19311.3313724555	30291.0819226435	19112.7325724578	15255.1762058102	11068.0866797967
L-Serine	195481.295375394	279523.764607492	78518.6341061456	221471.940833407	288252.353413914	221225.370848426	247652.389905117	222980.315735968	94919.5576612555	478384.877838	1111682.29788231	516552.561832563	195268.083990632	801000.421684168	116645.551579516	577616.510285944	557531.954679747	233145.76808658	688715.484182798	216040.782832298	70379.4350557998	343085.960713445	162726.203854242	211307.462243991	127709.342487101
L-Proline	14417076.0802165	16908091.3995128	22717565.5986872	13391086.5673492	21300111.3776676	15779622.9726249	27362608.9168593	12486153.1050461	13193049.4887828	53098718.9958462	14837057.024909	11310957.8439247	12685703.3847123	15811262.9542262	14580460.2014166	12588456.6070502	23449078.0413309	15587220.4293861	48934291.0668912	17005010.1709268	16461339.4196529	15857510.0756701	14571991.6928789	47035728.3063182	56346819.4541941
L-Valine	3061461.70054721	1789694.51895334	1181845.95127301	4148953.7389333	2658056.58276983	1820709.73688661	1473539.01012714	2585711.01057862	2747059.81688806	2048338.2262714	4046409.01568536	3797082.19710571	12021942.3677178	3279866.18646623	2507187.01251637	3124842.14231636	4471752.15049001	3131641.60941963	2512558.35897183	2537099.59240535	2465371.28501079	3378353.53072242	2939360.26213756	2196005.33391588	854093.502135506
L-Threonine	923874.928325513	530872.5718514	887160.632505565	1267403.01636535	1382129.99156904	795536.633916273	702802.453298399	1144614.96619171	1003458.27707484	997959.499854102	1447679.73180435	1240195.91052948	973339.529901107	1327023.39278544	902898.057534373	1171653.60745971	1293955.78372007	827787.364196453	1506980.61345756	1032654.61414657	496543.163527181	950597.380284107	506802.549338155	976847.601540503	779540.027788032
Niacinamide	311425.70734628	141841.619829352	483499.142671965	226456.391943494	269996.636589911	178330.329017127	252455.888812132	178864.923033031	166918.901965272	203570.59538016	331320.461367333	411502.570278378	135509.669693829	240958.80157289	201695.746778111	132415.935229884	317458.829454393	350398.241340988	470719.969713366	180862.812744429	368732.691952948	125221.726523819	171389.614381078	321173.373487813	130215.000816487
