sample	D300418	D300419	D300427	D300439	D300446	D300449	D300458	D300467	D300473	D300475	D300478	D300484	D300486	D300490	D300492	D300495	D300496	D300504	D300506	D300512	D300519	D300527	D300528
treatment	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2
L-Asparagine	41717.3822180341	5957.40979346533	68670.2036395918	44362.3554648367	6911.04894590637	5413.20785287218	68606.1266565765	43756.6651312794	19845.0559380093	28260.4210490043	113439.112345225	67973.5374879755	24799.3981715286	47995.1074240497	4382.18246189432	44185.4790493865	41206.1052491237	25181.8011037121	17558.5077525174	57340.2609735648	26079.2880391174	19526.5222565585	9066.72707451946
L-Glutamic acid	4108355.08156706	2287696.48645996	2161282.07582736	2642294.1835784	2582801.39262274	3302417.02805232	4291025.58722113	1840824.36404809	2455868.69102626	2186529.62541843	11407073.1771475	10373098.2680033	2655434.23758149	4127829.21470121	3204194.59192382	3006847.36191136	4549489.34833628	4155458.84065979	2322565.44355139	7328111.00153341	2922141.1888518	2039274.86884451	2813389.16114762
Pantothenic acid	30849.8221000725	466217.912693091	54712.9684317266	50124.5160990061	499197.851694551	915469.131358229	75781.4756387175	18410.5120216343	31507.6290635903	83836.981327401	121860.232344966	132548.262383502	67804.6893132679	30527.3571469615	578876.427833307	42623.4316922627	59268.9730435486	264693.174273052	137053.695837772	53292.7285907438	35993.7071191521	102312.226268114	426089.029672888
L-Alanine	29915.8367929578	66329.3392458584	52107.2957169175	45612.6667589916	39632.8445362968	11659.3317608359	41448.0616627251	20861.4881965072	8748.64339022802	19504.3652577377	68708.686247842	55232.2618864714	33014.4028365609	24999.6241627753	21800.2603858887	23807.5385943683	32678.3370326726	41093.0622066821	18672.2666339183	15228.2590486637	35672.5126572191	20879.9390902458	18196.9691815351
L-Serine	195481.295375394	333276.945045427	221471.940833407	425771.021357036	765089.54428659	173786.7262014	307652.951830751	94919.5576612555	120833.614064839	166911.03632613	307892.153676312	343834.093579655	448100.01630006	116645.551579516	196330.989153318	152473.446338229	233145.76808658	227599.129520593	223130.74881572	152834.151249572	432312.837070226	153239.382603606	245467.260197022
L-Proline	14417076.0802165	30786392.0364292	13391086.5673492	21290462.2724559	49080867.7588116	54527491.8937863	13275217.5429157	13193049.4887828	34379107.7953695	53441574.152265	25697006.8396592	26186005.1596274	22301685.723994	14580460.2014166	61419402.2889256	15881893.9018255	15587220.4293861	18838795.6205128	39972225.9419426	16530238.3398971	41281778.4096188	34990935.0394233	16511455.1473719
L-Valine	3061461.70054721	17021659.269514	4148953.7389333	3183592.50939166	3598401.43300449	1386225.30957274	4077071.81287503	2747059.81688806	1721459.30554308	1006163.02493595	3191309.33336894	3248159.08155305	2780372.27416743	2507187.01251637	1044243.70176604	2708411.72183357	3131641.60941963	1854461.58663241	2061259.8672513	2110369.50058678	1195958.80036111	1424714.99284816	2110583.28445651
L-Threonine	923874.928325513	1775329.41227897	1267403.01636535	1254161.58118472	1952140.55860026	952953.772039698	928081.323646823	1003458.27707484	807365.540345886	947254.750316571	1184666.03575901	1278057.14044163	1171925.505477	902898.057534373	1801088.71283954	794545.83444762	827787.364196453	917309.306368319	811575.271597883	776335.993665195	938035.213037992	744146.687407654	586347.48069909
Niacinamide	311425.70734628	102067.612393694	226456.391943494	244946.750440596	157323.855472092	344030.96573565	289284.692725982	166918.901965272	221290.379510463	232508.377066572	410724.98272264	431338.638572964	201676.098105418	201695.746778111	188870.444538458	387098.891876495	350398.241340988	225891.641430094	146463.070517535	202927.115473063	196630.678662661	319387.854085846	163874.313862238
Nicotinic acid	664168.607181333	3168102.23203533	474383.982696421	502797.064854138	1416353.32452597	454729.280750552	1982283.99217138	192111.315911891	320108.118758472	254905.385994516	1705294.72589833	1205952.37569467	310102.458872343	469039.615509607	350722.147269549	535313.436808654	894390.505984351	278155.750961471	232624.510504483	506664.816717513	463305.753463994	390997.923307933	1072598.08027944
L-Isoleucine	279889.335299053	7935726.49185266	418423.086251241	506768.90063502	3290844.17099851	315676.849571492	1225649.40975361	255464.488260705	550869.280284541	401145.541512348	1652442.13669657	2385281.75816569	911458.398493766	298397.637086242	1136054.42070909	747786.696849918	398374.196417206	269643.026801982	710698.226982525	1109454.52309417	705062.908041797	622197.486905148	367241.443262067
L-Leucine	2730554.69631035	19261713.2690373	5109987.30223558	3588137.86131115	9153347.58554029	2032140.93634104	3627420.06436035	1929995.70705302	1551616.12878331	1833400.64514708	3781260.35149649	5594167.82829136	2569711.24732522	2578120.93392536	2528114.38188709	2057683.17806165	3368673.97463099	3494669.362372	2002596.73254171	2304911.04106224	2845835.64252895	2788987.61737245	2266268.96635112
L-Aspartic Acid	579965.540376476	1276834.57078396	690798.064903636	710156.488977672	1282400.23495853	412218.584126053	1381482.12129061	463720.695267809	492425.259903157	528177.846984808	1688896.58805782	1434982.84525233	734443.749272791	861621.070596289	271420.660586165	637805.728990336	768397.578235855	519771.638338291	668459.523827729	705707.317802773	575725.872773092	410067.831722451	866244.710282364
L-Glutamine	3124975.50600726	4335321.87858008	5191532.22656337	4583532.71278363	3690118.88350518	2854240.37730095	4785194.16952418	3192489.57284524	3000452.17772532	4115162.25538226	4487310.611545	2774582.49327244	4907294.05445122	2661899.98593064	2594471.97911278	2650241.11580469	2197337.42486797	3755798.51745883	2690426.83294109	2007359.81734357	3482730.39422694	3755052.53522997	2224671.58931255
L-Lysine	8928741.69003512	7039952.98119514	8354744.65499438	7124447.33150754	9535028.13843947	7922343.25166135	9620910.09631155	7484192.73327397	7033395.64092404	6528366.14937477	12115123.4885565	12864258.7317253	6815216.32156269	9944967.42151654	8060503.06848241	7587804.10342744	7828176.21155707	8028856.06487382	8363575.65246357	10670596.1898635	8937125.87831947	6879228.21306153	11376053.9497055
L-Methionine	358893.933618079	658177.663928995	264242.856369474	227136.297781357	827338.529498647	368274.506807276	299583.710431188	197415.459380452	262443.284643278	264623.624501343	449735.090372218	554914.139737895	289656.443631112	157951.128024143	307520.609856946	300615.785626384	358257.760690716	265139.025981143	154348.973611845	344949.554034678	152065.221020475	351893.906949032	161097.584515729
L-Histidine	1057888.27271522	929033.709911488	1163372.60271581	941606.179279076	941427.799017327	668741.07557626	2285500.48391235	756319.960365401	860444.959111426	1030444.30921351	2438913.00321729	3274419.082784	1092978.36770028	815972.799562368	437285.903205094	944387.492463253	1218964.4166367	909643.603261943	1195881.4306336	3180941.87698502	963102.174716621	867454.16350267	759793.847812488
