sample	D300424	D300425	D300434	D300438	D300439	D300448	D300450	D300451	D300454	D300455	D300456	D300460	D300468	D300475	D300481	D300498	D300500	D300502	D300504	D300507	D300513	D300518	D300519	D300525	D300527
treatment	TG3	TG3	TG5	TG4	TG2	TG4	TG3	TG1	TG1	TG5	TG3	TG5	TG1	TG2	TG3	TG1	TG4	TG4	TG2	TG5	TG5	TG4	TG2	TG1	TG2
L-Lysine	6206629.26650756	10110072.312718	6567615.58767064	10451011.1472425	7124447.33150754	12772473.3256979	7783448.37505061	6092256.48039606	5577929.67943132	7567586.69226065	7771079.20837959	9890193.4853319	7088876.36379133	6528366.14937477	9415986.29461181	7711730.7177928	8322117.91536983	11756933.822209	8028856.06487382	8369024.98294586	7196531.01885614	12572751.2501738	8937125.87831947	6732488.68750725	6879228.21306153
L-Methionine	441555.437682058	696293.045025097	671434.566718886	1461994.77339001	227136.297781357	1475413.07021753	787619.16049048	269892.576002705	333145.826055841	455930.083002941	742324.215400471	175445.822444572	211362.288634827	264623.624501343	517123.747536452	124992.966625289	1115002.16607175	1275313.2702591	265139.025981143	302199.070165458	578809.139231097	2276674.89684362	152065.221020475	340135.400902577	351893.906949032
L-Histidine	1593757.90570619	2108073.90686518	1670604.02128958	1310019.9343662	941606.179279076	937398.456768025	1469482.01557195	1246193.70437996	1024546.60853901	1510726.84550312	1497185.20650568	1070038.81325308	1448084.78853015	1030444.30921351	2180937.71822752	907349.415965754	1469161.1892466	592740.56020986	909643.603261943	1307679.29662073	2074787.13689484	1136767.90447393	963102.174716621	1204375.59771752	867454.16350267
L-Phenylalanine	1480611.43267531	5563986.58097753	2574471.47946549	8482253.88565525	1623982.28049608	18075241.508035	3475704.22687324	1883922.09856307	1005837.47107135	2637413.5609966	2875225.64917164	2274354.51741646	1332456.80413608	767847.278939821	1058103.50467417	985032.66670117	3950385.79224954	12038492.0312555	1553725.38061354	11604854.4804119	2325329.26244287	13124521.903876	1415680.0819498	1537512.0705063	1151120.46181054
Pyridoxamine	577466.304045373	529966.656719258	460646.478374191	2493369.60594295	546015.934967975	1814043.9344154	396663.311997812	479144.767910037	549059.585129004	452964.848846362	228042.851556432	163428.833000073	200071.38641957	1180066.73992195	245042.124157182	105606.386167676	567250.678896845	1654100.43723601	672857.344649173	283304.078698848	985026.527963132	1680234.14857332	172703.590015863	761257.977551184	238518.020744862
Pyridoxine	3921936.64188836	2114813.17789823	3521303.53212938	2975084.49450213	4414658.25161292	3821335.53433362	2109059.49778394	3649583.5877486	3269727.76363976	2791709.53607913	2950825.81610518	2872230.20370762	3534622.98642538	4714177.35559005	2971013.75240266	3603355.0073258	4957042.42982681	3356753.98720308	4119306.89416245	3459365.53419021	3336337.76200838	2664884.26938825	2847558.88387865	4007835.94053623	3545367.0630187
L-Arginine	5110216.74401275	4354636.68734505	8009678.26641639	9756206.14503782	7303672.96538768	8342693.93852517	4238808.08462958	4600717.05672179	2557303.21387435	7219520.05059528	5946475.82827046	7393321.75796353	4382834.9414142	4215411.64628277	4798724.25677231	3653772.78659701	9935035.26302761	4797242.01524642	7574712.02856434	7152918.91657098	6115570.54488444	10578106.6179656	6921887.98645702	4291712.38622843	4001578.67990599
L-Tyrosine	631047.39383887	2317379.06103632	1546472.7662768	3080580.60526598	1005025.2432392	5205200.99642182	1882659.75781753	676358.324937445	427363.05488429	1588435.76397552	1486118.73107163	2283037.82119031	463288.425812592	374557.463944845	701756.168687122	341450.402791481	1330194.07494476	3892372.05318958	918253.988013204	5251982.40456656	1157299.32251682	3761603.58873876	805607.76834545	519878.358243316	397442.551695511
L-Tryptophan	781583.663299965	960210.4938505	1378426.9330873	1949337.13794327	795496.869155635	1337547.7534244	1008217.58184259	700905.210597447	518074.659057941	1130461.24050191	1042825.99973387	978629.013763349	603873.946360258	531961.903274303	557446.116916545	731815.276706748	1518710.29238708	1324227.417589	1137060.10204287	908265.001409171	1266711.5071647	2319915.71739288	968307.758773341	628647.406451426	491432.849435242
Thiamine	4411537.76236213	6454116.01590208	841287.107053876	5088619.57050951	544642.36988976	3528561.49540519	7820952.87865307	548102.889271037	786082.217834244	623314.550624421	5797994.37542582	448822.468361863	332742.463628482	371526.700871821	2461460.11303506	269355.477639247	3394150.92000427	1825432.15136021	804103.649336384	327232.16347521	3107009.98258691	5155233.15281651	610097.197766834	1792615.32924424	437486.410191464
Riboflavin	987606.661907592	1761670.22705866	2148043.11144938	378186.6938783	341149.124533407	1648428.45285043	719204.447551009	1741185.38412742	3215209.28132227	2806758.64973506	137982.312075797	862641.136509557	1241629.59912616	1509583.62291702	333898.06043706	487349.429445538	558675.690513772	888923.870539146	995455.495606191	1608428.4480301	948534.468228413	788346.722973446	162415.733443214	1381389.80179013	2459831.78400707
a-Tocopheryl acetate	5283396.68683611	6887891.00539979	1415146.3691955	4071083.12291979	5901608.36979782	7398303.62806172	6556145.51773299	8531385.09802246	4430969.37916245	5839304.92434001	2907061.64263126	6948238.22206904	5114475.69097605	6418991.98160809	4704358.40229586	8545157.35959832	6293931.26104161	6434343.15576767	3649640.15117262	5887486.35539917	5007303.36270774	6444855.24933396	5993396.95171579	5595531.59325962	6880778.1427015
