,D300521,D300514,D300443,D300526,D300474,D300511,D300489,D300491,D300488,D300508,D300502,D300438,D300448,D300518,D300500,D300522,D300429,D300472,D300471,D300431,D300463,D300452
batch,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009
animal,G008,G009,G010,G011,G012,G013,G014,G016,G017,G018,G019,G020,G021,G023,G024,G026,G027,G028,G029,G030,G031,G032
tissue,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta
treatment,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4,TG4
day,35,35,35,35,35,28,28,28,28,28,21,21,21,21,21,14,14,14,14,7,7,7
L-Tyrosine,341450.402791481,676358.324937445,463288.425812592,519878.358243316,427363.05488429,407624.366220221,452328.508924273,605079.275620129,328951.773787001,392844.86918001,428142.431672516,632785.722057302,923467.435880421,945328.496618071,573342.874455709,2938962.83675836,4103839.65416823,368581.656932176,462266.471920656,1070405.43006612,601438.732166651,471502.748025865
L-Phenylalanine,985032.66670117,1883922.09856307,1332456.80413608,1537512.0705063,1005837.47107135,528435.039831676,646761.506881542,835750.543788883,525748.264666951,577127.705671266,608551.385326433,681458.30512943,968064.798713094,1339175.85071551,926076.792379052,21991965.2249056,26192959.1192468,798089.409740587,727284.939808773,1647480.63786534,1862486.10297632,955339.135261436
L-Tryptophan,731815.276706748,700905.210597447,603873.946360258,628647.406451426,518074.659057941,516201.872562084,827324.784042501,824952.992775286,483945.584089889,387045.586719337,527565.273119213,584057.223898694,899659.133867964,920573.975237931,1153875.91526452,1782147.95886323,1367088.02217881,485479.097576841,470066.763120062,732086.452498767,946341.778649654,731037.557535761
L-Aspartic Acid,535298.503300695,948715.731314185,867933.609154104,741824.63877426,650725.512213325,466091.031581266,594169.183875318,1095803.71548717,512413.88265812,598512.78034476,420826.77250661,761322.917644897,917199.670890345,807637.134648214,481365.615752152,1276834.57078396,1282400.23495853,271420.660586165,412218.584126053,866244.710282364,734443.749272791,492425.259903157
L-Arginine,3653772.78659701,4600717.05672179,4382834.9414142,4291712.38622843,2557303.21387435,4422529.02984121,5568490.32857658,6794638.71972089,3748090.81706083,4310493.01149305,5262362.99384756,6914113.68114786,9796903.56441032,8146033.44955926,5466990.96836613,5267436.90018537,9197593.04964489,3794594.4721176,4981799.5932525,5969634.94017545,4670954.19309638,4785876.08104247
