,D300453,D300465,D300422,D300437,D300523,D300426,D300440,D300485,D300447,D300461,D300456,D300425,D300424,D300450,D300481,D300494,D300423,D300441,D300435,D300457,D300432,D300444,D300482,D300501
L-Lysine,8363575.65246357,6528366.14937477,7124447.33150754,6879228.21306153,8028856.06487382,8937125.87831947,8928741.69003512,7484192.73327397,7828176.21155707,9944967.42151654,8354744.65499438,9620910.09631155,12115123.4885565,7587804.10342744,12864258.7317253,10670596.1898635,2614297.31277052,8967607.83229639,11470711.4250362,10792507.4710888,9695876.35889289,10165768.3517016,8678762.07942153,11047335.892471
L-Methionine,154348.973611845,264623.624501343,227136.297781357,351893.906949032,265139.025981143,152065.221020475,358893.933618079,197415.459380452,358257.760690716,157951.128024143,264242.856369474,299583.710431188,449735.090372218,300615.785626384,554914.139737895,344949.554034678,54955.9929232345,383293.257311881,593821.71314133,1197546.75979863,565765.530346351,690859.517435481,576311.020065491,564332.462851316
L-Proline,39972225.9419426,53441574.152265,21290462.2724559,34990935.0394233,18838795.6205128,41281778.4096188,14417076.0802165,13193049.4887828,15587220.4293861,14580460.2014166,13391086.5673492,13275217.5429157,25697006.8396592,15881893.9018255,26186005.1596274,16530238.3398971,6900413.81959614,23359216.3584426,21182647.5015199,22259357.5640635,14772594.1522931,19360819.3033217,22038464.2458989,14285254.2555988
L-Threonine,811575.271597883,947254.750316571,1254161.58118472,744146.687407654,917309.306368319,938035.213037992,923874.928325513,1003458.27707484,827787.364196453,902898.057534373,1267403.01636535,928081.323646823,1184666.03575901,794545.83444762,1278057.14044163,776335.993665195,759947.705486272,1578549.3796477,1262634.78089117,1810641.1037616,986059.625618002,1077074.68380679,1355080.63602229,1395931.03705655
Thiamine,413869.630746006,371526.700871821,544642.36988976,437486.410191464,804103.649336384,610097.197766834,397258.466691091,287922.367262637,196521.598671951,626680.389208536,865189.656961373,1663451.04091786,1128123.68000419,440823.171232723,486403.015182218,455796.482080954,1742219.7620015,2024028.23388784,551194.119113796,5537109.03261028,885715.152827034,783712.072677079,1539648.52850671,1493021.98056378
Adenine,352962.298019859,1021154.6065363,1283364.99959779,1531457.01054575,895821.805126605,1392938.62423331,4556552.8024641,535861.203474834,624757.671914479,1233975.48552047,2550530.7918573,503684.759564688,451928.773954188,1002670.6237529,1658904.54529243,704347.875009029,2664050.46672739,2469502.53626884,4943088.61172033,4173485.22639773,634687.277356358,444230.379091642,483341.693679449,475723.464737906
Guanosine,71758.4918581006,146875.688748596,317286.057563234,117943.678070876,135131.757324503,142230.933414074,79818.0384658317,80232.8434735945,185328.024487737,116203.889359038,224067.202107726,239851.623751468,268698.387623143,172573.482904514,266995.298365791,132294.676268756,139233.514700076,49965.8912260684,14409.6172466404,29996.3183968666,51184.1733736829,117450.574464018,51641.507774056,140751.403203207
L-Valine,2061259.8672513,1006163.02493595,3183592.50939166,1424714.99284816,1854461.58663241,1195958.80036111,3061461.70054721,2747059.81688806,3131641.60941963,2507187.01251637,4148953.7389333,4077071.81287503,3191309.33336894,2708411.72183357,3248159.08155305,2110369.50058678,28786941.0257315,4565929.23878665,4312175.36951674,7686267.97920313,3091511.95347725,3550724.86579205,2489983.3451443,2046428.94336249
L-Alanine,18672.2666339183,19504.3652577377,45612.6667589916,20879.9390902458,41093.0622066821,35672.5126572191,29915.8367929578,20861.4881965072,32678.3370326726,24999.6241627753,52107.2957169175,41448.0616627251,68708.686247842,23807.5385943683,55232.2618864714,15228.2590486637,11603.6678803265,39697.9410109223,42804.0435660407,82917.501120777,13172.0218303597,20582.6459429074,27426.8062346842,29626.1415912402
L-Asparagine,17558.5077525174,28260.4210490043,44362.3554648367,19526.5222565585,25181.8011037121,26079.2880391174,41717.3822180341,43756.6651312794,41206.1052491237,47995.1074240497,68670.2036395918,68606.1266565765,113439.112345225,44185.4790493865,67973.5374879755,57340.2609735648,94876.0419448552,7957.77498757972,5579.42102621472,6684.40812884165,5028.90559763965,20080.9627740531,7716.6414186499,12634.5203968611
L-Isoleucine,710698.226982525,401145.541512348,506768.90063502,622197.486905148,269643.026801982,705062.908041797,279889.335299053,255464.488260705,398374.196417206,298397.637086242,418423.086251241,1225649.40975361,1652442.13669657,747786.696849918,2385281.75816569,1109454.52309417,188168.794968089,265379.226652471,905702.922044583,1370676.09277011,811978.147615953,1357139.44878131,1116254.50620431,922627.819456617
L-Serine,223130.74881572,166911.03632613,425771.021357036,153239.382603606,227599.129520593,432312.837070226,195481.295375394,94919.5576612555,233145.76808658,116645.551579516,221471.940833407,307652.951830751,307892.153676312,152473.446338229,343834.093579655,152834.151249572,915555.149871809,105650.223006304,174400.688766813,639360.521594421,88185.1060753372,293325.73221259,275467.718406074,266796.457311849
Lactic acid,1977636.06739637,2053264.19571731,6631647.37602203,4010626.84500574,3008757.72366825,2668617.64635579,4021215.8119785,2185841.17041446,6536171.14064086,1217720.21821229,11848360.0503342,7120745.40135772,12699993.4169166,1610475.76139152,7486878.35468992,516663.048745783,3538839.92081528,430636.325895845,18796326.7265813,2506180.40971626,5648544.03761306,2261530.12767459,7595268.57807181,5487775.7911911
Sulfoacetic acid,1043688.81313733,1273178.5327219,1100151.49969126,1325716.76782686,1195220.41855502,1495590.52472887,1288540.58050313,1509422.0733509,1434339.28918051,1225628.24052617,1191484.27663496,1258137.64626733,1085489.51776997,1462695.47023095,1458110.83574194,1819305.18391232,170498.419174902,1448282.47535133,1071608.21585147,1271483.31602952,1552201.75797718,1258210.97906715,1492323.05459657,1300065.90023765
