treatment	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5
day	14	21	14	14	7	21	21	35	28	14	7	28	35	35	35	28	21	21	35	28	28
salmonella	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
synbiotic_water	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
synbiotic_feed	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
L-Tyrosine	3.763742e+05	 1546472.77	  526227.28	 1699028.733	  672153.31	 1588435.764	 2283037.82	  799052.75	 1341896.49	  359246.998	  374898.276	 2308551.44	 1293202.32	 1533389.56	 1534082.75	 1783028.21	 5251982.40	 1157299.323	 1154861.91	 1125861.83	 1143189.70
L-Phenylalanine	8.176808e+05	 2574471.48	 1753630.51	 1873840.009	 2686876.17	 2637413.561	 2274354.52	 1112565.44	 1433684.92	  555864.684	  480322.134	 4234876.16	 1361944.28	 1623591.14	  819601.66	 3969178.65	11604854.48	 2325329.262	 1233173.65	 1744189.10	  606643.19
L-Tryptophan	8.384089e+05	 1378426.93	  676495.75	  841761.606	  836231.78	 1130461.241	  978629.01	  624959.32	  710300.82	  650422.520	  734133.771	 1648267.30	  539703.72	  677719.53	  527840.95	 1458030.17	  908265.00	 1266711.507	  685302.37	 1151889.73	  795969.03
L-Aspartic Acid	6.124773e+05	 1111258.48	  368827.75	  760435.670	  689361.41	 1202762.846	 1118623.04	 1958121.59	 1145907.44	  458010.023	  454350.239	 1798951.99	  797955.31	 1687953.69	  822080.66	 1453514.43	 1213160.58	  968274.477	 1544765.75	  958569.09	  875043.61
L-Arginine	4.477350e+06	 8009678.27	 2226143.07	 6753825.669	 3625572.80	 7219520.051	 7393321.76	 7156602.74	 8584222.44	 2771855.433	 2876824.215	10032871.82	 8594715.40	 9121889.97	11306250.10	 9116631.46	 7152918.92	 6115570.545	 9212572.46	 8254736.45	 9331852.13
L-Leucine	9.988929e+05	 5833618.99	 2733500.09	 4787010.854	 3121844.99	 5577910.976	 2410369.82	 2713565.63	 3260478.54	 1066095.359	 1039652.036	 7408303.33	 2430629.91	 4344553.91	 1804642.34	 8372038.82	 3124443.58	 5091041.655	 2646091.93	 4051846.46	 1107780.86
L-Glutamic acid	3.724094e+06	 3471628.53	 3382922.70	 3979426.857	 3328180.11	 3861885.395	 3865735.54	 3446288.61	 4734023.61	 2862135.601	 3851971.733	 5397017.72	 3687177.29	 4477989.80	 3846286.58	 4544014.13	 3517631.57	 2779564.565	 3318750.80	 3661020.48	 3847137.91
L-Glutamine	5.471718e+05	 2943970.32	 1217745.94	 2289319.036	 4052035.96	 2238992.763	 2913995.41	 2121663.49	 2380836.77	 1687824.850	  535089.168	 3524195.08	 1275949.14	 2562744.29	 1595869.14	 4911478.13	 2901841.03	 4262581.852	 3049044.86	 2121878.39	 1993521.06
L-Histidine	5.853515e+05	 1670604.02	  713026.29	 1448424.966	 1262135.06	 1510726.846	 1070038.81	 3617492.08	  778742.57	  448646.629	  630815.781	 4293749.97	 1208463.33	 1399226.00	 1554722.19	 1548295.40	 1307679.30	 2074787.137	 1291594.18	 1287748.53	  815474.13
