treatment	TG2	TG1	TG3	TG2	TG3	TG3	TG3	TG1	TG2	TG5	TG1	TG3	TG4	TG4	TG2	TG4	TG5	TG2	TG5	TG4	TG1	TG4	TG1	TG5	TG5
day	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No
synbiotic_water	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No
synbiotic_feed	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No
L-Tyrosine	  931320.66	 1910604.44	  805607.77	 1486118.73	  737906.12	 1208050.32	 1439298.83	 1915255.03	 1013797.14	 1341896.49	 2946196.44	  692634.92	  328951.77	  452328.51	  891119.82	  605079.28	 2308551.44	  723382.14	 1783028.21	  392844.87	 1709515.04	  407624.37	 4441167.00	 1125861.83	 1143189.70
L-Phenylalanine	 2197242.94	 2377164.47	 1415680.08	 2875225.65	 1066576.89	 2101855.67	 2071580.82	 3600457.70	 1691630.75	 1433684.92	 6492338.74	 1225876.36	  525748.26	  646761.51	  716831.67	  835750.54	 4234876.16	 1049883.77	 3969178.65	  577127.71	 7132264.92	  528435.04	13417966.52	 1744189.10	  606643.19
L-Tryptophan	  889525.28	 1179691.31	  968307.76	 1042826.00	  724290.36	 1102213.26	  679165.31	 1061073.47	  873599.97	  710300.82	 1029570.58	 1045592.64	  483945.58	  827324.78	  444983.35	  824952.99	 1648267.30	  521827.68	 1458030.17	  387045.59	  616716.16	  516201.87	 1145962.74	 1151889.73	  795969.03
L-Aspartic Acid	  736739.35	 1103257.27	  575725.87	  896681.23	  579965.54	  768397.58	  861621.07	 1010656.56	  690048.96	 1145907.44	  912309.21	  463720.70	  512413.88	  594169.18	 1107785.18	 1095803.72	 1798951.99	  771148.33	 1453514.43	  598512.78	  846429.01	  466091.03	 1334918.49	  958569.09	  875043.61
L-Arginine	 5555579.21	10532432.13	 6921887.99	 5946475.83	 6445564.44	 8000486.22	 8722564.51	 7165322.36	 5245183.55	 8584222.44	 9494966.64	 5650550.96	 3748090.82	 5568490.33	 5041920.15	 6794638.72	10032871.82	 5218184.32	 9116631.46	 4310493.01	 5732182.03	 4422529.03	10124691.27	 8254736.45	 9331852.13
L-Leucine	 4494974.94	 5598202.83	 2845835.64	 7841703.36	 2730554.70	 3368673.97	 2578120.93	 4639337.77	 3260256.06	 3260478.54	 4189342.86	 1929995.71	 1389850.48	 2756111.44	 1309828.67	 3246289.18	 7408303.33	 1769693.32	 8372038.82	 1607938.39	11412940.22	 1641011.40	 2652195.11	 4051846.46	 1107780.86
L-Glutamic acid	 2467230.99	 7276669.70	 2922141.19	 3503774.03	 4108355.08	 4549489.35	 4127829.21	 3339636.95	 2753975.10	 4734023.61	 5255181.55	 1840824.36	 3379609.06	 2155364.12	 3295707.58	 3141929.61	 5397017.72	 2773040.00	 4544014.13	 4782826.71	 2863847.98	 3384924.73	 6191130.81	 3661020.48	 3847137.91
