sample	D300516	D300510	D300483	D300466	D300421	D300427	D300490	D300496	D300467	D300418	D300426	D300440	D300485	D300447	D300461	D300511	D300489	D300491	D300488	D300508	D300524	D300469	D300520	D300505	D300493
Thiamine	245029.177042984	268766.507210829	633621.061267495	856418.334277792	568414.410524744	5797994.37542582	251141.764754415	278668.520431184	743807.823767373	407567.725498382	610097.197766834	397258.466691091	287922.367262637	196521.598671951	626680.389208536	333257.008480889	271272.119813972	1242454.46197879	385192.433851038	365657.229134487	190224.203448771	52817.8418404115	43536.2410848922	512785.702184162	203810.65674581
Adenine	1315236.52423893	2103120.71709908	733586.381044953	2302015.14989899	512026.925805702	375679.578344162	1043634.44416266	903972.952822469	846996.055958636	824356.74641159	1392938.62423331	4556552.8024641	535861.203474834	624757.671914479	1233975.48552047	1076427.24262118	2703428.28224125	2230256.00504919	1724819.5449541	1618105.00975096	411093.962679449	440983.585501616	413817.209937709	685535.083342584	496824.697818138
Guanosine	135409.225748569	72474.1880703753	275971.382351457	465621.710465543	230203.712437099	41176.7234882045	39973.6578362305	71553.8711105321	132544.307208543	131953.795847486	142230.933414074	79818.0384658317	80232.8434735945	185328.024487737	116203.889359038	138158.024632875	190459.460074064	445689.558782307	59145.4475165918	69720.120478569	59568.9916592097	258268.953401772	120334.36804891	187988.355778341	400027.076625357
L-Valine	2537099.59240535	12021942.3677178	3124842.14231636	3279866.18646623	3378353.53072242	4206638.06547158	1473539.01012714	1820709.73688661	3797082.19710571	2658056.58276983	1195958.80036111	3061461.70054721	2747059.81688806	3131641.60941963	2507187.01251637	1789694.51895334	2585711.01057862	4046409.01568536	2465371.28501079	2939360.26213756	854093.502135506	2048338.2262714	2196005.33391588	2512558.35897183	4471752.15049001
L-Alanine	19522.6550246362	30850.9595227431	43980.955334552	40874.9480196597	30291.0819226435	49968.1007614123	22685.7938422241	19011.6088695178	33310.661844478	36973.2318443665	35672.5126572191	29915.8367929578	20861.4881965072	32678.3370326726	24999.6241627753	34946.6193020637	34747.9487887389	66772.6615528395	19311.3313724555	19112.7325724578	11068.0866797967	28262.3979164056	15255.1762058102	40839.464197385	55339.139716401
L-Asparagine	75881.9967138993	40777.5775535632	109457.39122474	93764.719512402	62053.9988461128	11362.2123094137	37691.6209100308	40055.6678442295	58169.8566388941	52893.3598415371	26079.2880391174	41717.3822180341	43756.6651312794	41206.1052491237	47995.1074240497	42407.5366733871	72925.4935240999	56256.8214440294	34686.3965528695	39923.5992712477	41837.4758089825	35796.144863674	44964.1460312401	73625.6383638053	51906.6248400072
L-Isoleucine	1336695.99197471	3544028.31484457	1664003.47269051	2115503.60639654	2009155.73283537	3029739.47815435	582341.365596225	947539.254674793	1167300.99048807	1251833.32318776	705062.908041797	279889.335299053	255464.488260705	398374.196417206	298397.637086242	945042.961655232	1215066.44642279	1679492.2136061	585042.353898826	909073.51245175	762463.74556853	1672793.97058337	1434708.97072092	2960828.45823111	3128692.3157166
L-Serine	216040.782832298	195268.083990632	577616.510285944	801000.421684168	343085.960713445	749763.051901525	247652.389905117	221225.370848426	516552.561832563	288252.353413914	432312.837070226	195481.295375394	94919.5576612555	233145.76808658	116645.551579516	279523.764607492	222980.315735968	1111682.29788231	70379.4350557998	162726.203854242	127709.342487101	478384.877838	211307.462243991	688715.484182798	557531.954679747
Lactic acid	4096159.24573526	619603.668372692	11071229.7265533	7011570.79669714	4267765.61209427	11973513.6519128	1015614.86990625	1011205.1126861	2046892.91486668	2620932.65687685	2668617.64635579	4021215.8119785	2185841.17041446	6536171.14064086	1217720.21821229	4052564.60934958	2039929.3894641	7679853.25955007	489505.800420218	670142.21429531	365701.76501043	3987151.36553236	473137.371818965	4400452.34017812	10769484.5074697
Sulfoacetic acid	1532035.13849586	1324963.9002911	1068362.22949952	1025902.79809395	1703371.21149763	1115917.46086486	1784163.09038226	1849136.52345203	1568249.19365837	1649448.45088291	1495590.52472887	1288540.58050313	1509422.0733509	1434339.28918051	1225628.24052617	1687205.60414401	1281821.3981134	1037838.27987212	1309968.65969203	1529706.94803353	1504238.05027448	1642005.93285169	1459705.713496	933908.370178656	1098978.92201848
