sample	D300454	D300525	D300468	D300451	D300498	D300519	D300504	D300527	D300439	D300475	D300456	D300425	D300424	D300450	D300481	D300502	D300438	D300448	D300518	D300500	D300507	D300434	D300460	D300513	D300455
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G095	G096	G097	G098	G099	G070	G071	G072	G073	G074	G045	G046	G047	G048	G049	G019	G020	G021	G023	G024	G110	G111	G112	G113	G114
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5	TG5
day	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
L-Threonine	1156147.04783242	1278720.17923322	1109500.86773465	1268830.79319397	1847447.18760237	887160.632505565	1027320.12851255	1000186.40405516	637921.517652106	708781.097332616	1267403.01636535	928081.323646823	1184666.03575901	794545.83444762	1278057.14044163	614121.751190649	968291.676720186	1706118.80482168	1399034.79332084	1084855.3701308	1074052.70063732	1105307.32676016	888778.726975452	1539036.99038989	829386.099982365
Thiamine	323857.374356171	792366.579559075	84382.0327563287	609706.255053388	1040233.34586091	312300.518043791	1112766.24904624	660915.546479349	679775.573716377	94751.0799717825	865189.656961373	1663451.04091786	1128123.68000419	440823.171232723	486403.015182218	381920.323266041	402106.992619301	1018567.30812313	496498.552120749	550048.153944498	327232.16347521	841287.107053876	448822.468361863	3107009.98258691	623314.550624421
Adenine	430732.544410782	748530.167060603	502619.805998879	672890.398633617	2705180.34658893	998444.353868932	1077213.03642253	734036.146161758	718060.369228913	1873188.14467638	2550530.7918573	503684.759564688	451928.773954188	1002670.6237529	1658904.54529243	2733761.5502132	2480441.35862252	5370647.25313628	1588447.73628628	2550165.87633975	424157.806566793	444358.145419193	232407.853359332	672634.22874015	414215.164679359
Guanosine	128707.915276798	193130.669580726	144687.082638396	161813.288777536	176521.535743262	20965.7292274752	263436.93974219	198046.881388141	81999.0377969289	146575.998826713	224067.202107726	239851.623751468	268698.387623143	172573.482904514	266995.298365791	113314.780102619	92843.7050258472	421423.95564074	269646.442382713	212910.31160987	116688.175077471	117743.118856052	60970.3551617568	378020.146628075	94516.0517959005
L-Valine	10498214.8864025	5982769.10348382	3370473.77836607	4037457.3598163	3428072.10282193	1181845.95127301	3090843.23935542	3560269.89769694	2160281.42850661	2311152.88682523	4148953.7389333	4077071.81287503	3191309.33336894	2708411.72183357	3248159.08155305	1974765.4135151	2458323.66726031	5807263.82458739	5263210.58899694	3223522.59200952	791016.26958268	1407749.83731183	1289323.58218797	3022541.22640488	1620275.19881559
L-Alanine	25544.4957400908	33510.0969023377	21908.0070534634	47486.0707581583	45103.3534816654	12037.503099832	37010.9481184684	36645.5317310026	15379.1662859155	30980.8311219687	52107.2957169175	41448.0616627251	68708.686247842	23807.5385943683	55232.2618864714	17438.4239166084	20537.4702793975	56114.6125817295	37757.9166972901	50771.0010902399	32227.2324007896	30645.2347970719	22668.030246742	33827.8486859989	21719.2567693987
L-Asparagine	78683.1677742281	78333.6641326378	63610.5067566782	67937.4610304372	110969.647290303	38157.8584709551	55797.8263877972	63255.4750659907	51363.1497354544	33536.3203845067	68670.2036395918	68606.1266565765	113439.112345225	44185.4790493865	67973.5374879755	70015.9292584687	71441.7611023157	106991.855519265	93846.1383520565	90921.760957879	13881.3199556429	14920.1354181248	24476.9619080485	8193.25670795996	7194.70696580428
L-Isoleucine	7075675.52639378	4404205.91246458	2016733.81319274	3584202.71534177	2885370.94420555	416118.931042324	1463776.71433066	1903696.48882114	780547.004843001	851069.227451459	418423.086251241	1225649.40975361	1652442.13669657	747786.696849918	2385281.75816569	810229.812746511	1513331.03572636	3447726.04426046	4171149.4630928	1523312.03145023	792634.181673396	1266402.67540107	776502.786093615	2015358.09591829	1419439.31462589
L-Serine	162399.140104891	221340.207272775	138745.438020703	258614.991516276	567681.011651232	78518.6341061456	976738.027028843	281777.405742785	85776.3956679628	199491.475854473	221471.940833407	307652.951830751	307892.153676312	152473.446338229	343834.093579655	93180.0038547216	103771.960553636	354784.599344428	272235.268840785	232218.065767815	547279.885034222	363019.519208721	182676.081997939	615843.73269696	314133.411832239
Lactic acid	295199.240130716	1020714.11491087	753174.448675527	4108901.5665501	3581943.73006865	201869.465372685	2650970.0112738	3451265.38364321	112866.115890908	1366648.57937261	11848360.0503342	7120745.40135772	12699993.4169166	1610475.76139152	7486878.35468992	400639.366035378	1016854.33540289	2029029.44232161	1516561.17560147	4795649.68741837	1596584.02458192	5683418.524289	1529842.07517306	1040425.9769757	1328057.53717739
Sulfoacetic acid	1638343.57601432	1409834.52138491	1865558.39854514	1412172.17265591	1301419.61483687	1582348.80338366	1511717.82949035	1435266.89770043	2067076.45073005	1721018.05369245	1191484.27663496	1258137.64626733	1085489.51776997	1462695.47023095	1458110.83574194	1541406.19926932	1800073.80286803	1208037.85663887	1369475.94323506	1377375.64761887	1133922.87670815	981949.303667812	1395389.9471326	965127.310122288	1267645.31072909
