treatment	TG3	TG3	TG5	TG4	TG2	TG4	TG3	TG1	TG1	TG5	TG3	TG5	TG1	TG2	TG3	TG1	TG4	TG4	TG2	TG5	TG5	TG4	TG2	TG1	TG2
day	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
salmonella	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes
synbiotic_water	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	Yes	No	No	No	Yes	Yes	Yes
synbiotic_feed	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No
Thiamine	 1128123.68	 1663451.04	  841287.11	  402106.99	  679775.57	 1018567.31	  440823.17	  609706.26	  323857.37	  623314.551	  865189.7	  448822.47	   84382.03	   94751.08	  486403.02	 1040233.35	  550048.15	  381920.32	 1112766.25	  327232.16	 3107009.983	  496498.55	  312300.52	  792366.58	  660915.55
Adenine	  451928.77	  503684.76	  444358.15	 2480441.36	  718060.37	 5370647.25	 1002670.62	  672890.40	  430732.54	  414215.165	 2550530.8	  232407.85	  502619.81	 1873188.14	 1658904.55	 2705180.35	 2550165.88	 2733761.55	 1077213.04	  424157.81	  672634.229	 1588447.74	  998444.35	  748530.17	  734036.15
Guanosine	  268698.39	  239851.62	  117743.12	   92843.71	   81999.04	  421423.96	  172573.48	  161813.29	  128707.92	   94516.052	  224067.2	   60970.36	  144687.08	  146576.00	  266995.30	  176521.54	  212910.31	  113314.78	  263436.94	  116688.18	  378020.147	  269646.44	   20965.73	  193130.67	  198046.88
L-Valine	 3191309.33	 4077071.81	 1407749.84	 2458323.67	 2160281.43	 5807263.82	 2708411.72	 4037457.36	10498214.89	 1620275.199	 4148953.7	 1289323.58	 3370473.78	 2311152.89	 3248159.08	 3428072.10	 3223522.59	 1974765.41	 3090843.24	  791016.27	 3022541.226	 5263210.59	 1181845.95	 5982769.10	 3560269.90
L-Alanine	   68708.69	   41448.06	   30645.23	   20537.47	   15379.17	   56114.61	   23807.54	   47486.07	   25544.50	   21719.257	   52107.3	   22668.03	   21908.01	   30980.83	   55232.26	   45103.35	   50771.00	   17438.42	   37010.95	   32227.23	   33827.849	   37757.92	   12037.50	   33510.10	   36645.53
L-Asparagine	  113439.11	   68606.13	   14920.14	   71441.76	   51363.15	  106991.86	   44185.48	   67937.46	   78683.17	    7194.707	   68670.2	   24476.96	   63610.51	   33536.32	   67973.54	  110969.65	   90921.76	   70015.93	   55797.83	   13881.32	    8193.257	   93846.14	   38157.86	   78333.66	   63255.48
L-Isoleucine	 1652442.14	 1225649.41	 1266402.68	 1513331.04	  780547.00	 3447726.04	  747786.70	 3584202.72	 7075675.53	 1419439.315	  418423.1	  776502.79	 2016733.81	  851069.23	 2385281.76	 2885370.94	 1523312.03	  810229.81	 1463776.71	  792634.18	 2015358.096	 4171149.46	  416118.93	 4404205.91	 1903696.49
L-Serine	  307892.15	  307652.95	  363019.52	  103771.96	   85776.40	  354784.60	  152473.45	  258614.99	  162399.14	  314133.412	  221471.9	  182676.08	  138745.44	  199491.48	  343834.09	  567681.01	  232218.07	   93180.00	  976738.03	  547279.89	  615843.733	  272235.27	   78518.63	  221340.21	  281777.41
Lactic acid	12699993.42	 7120745.40	 5683418.52	 1016854.34	  112866.12	 2029029.44	 1610475.76	 4108901.57	  295199.24	 1328057.537	11848360.1	 1529842.08	  753174.45	 1366648.58	 7486878.35	 3581943.73	 4795649.69	  400639.37	 2650970.01	 1596584.02	 1040425.977	 1516561.18	  201869.47	 1020714.11	 3451265.38
Sulfoacetic acid	 1085489.52	 1258137.65	  981949.30	 1800073.80	 2067076.45	 1208037.86	 1462695.47	 1412172.17	 1638343.58	 1267645.311	 1191484.3	 1395389.95	 1865558.40	 1721018.05	 1458110.84	 1301419.61	 1377375.65	 1541406.20	 1511717.83	 1133922.88	  965127.310	 1369475.94	 1582348.80	 1409834.52	 1435266.90
