treatment	TG3	TG1	TG3	TG4	TG3	TG2	TG5	TG3	TG4	TG2	TG1	TG2	TG2	TG5	TG5	TG5	TG1	TG2	TG4	TG5	TG1	TG4	TG3	TG4	TG1
day	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes
synbiotic_water	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	Yes
synbiotic_feed	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	Yes	No	Yes
L-Tyrosine	 1005025.24	 3080580.61	  397442.55	  463288.43	  536540.63	 2317379.061	  799052.75	  374557.46	  427363.05	  631047.39	 3761603.59	  701756.169	 1882659.758	 1293202.32	 1533389.56	 1534082.75	 3892372.05	 2121601.984	  676358.32	 1154861.91	 5205201.00	  341450.40	  918253.99	  519878.36	 1330194.07
L-Phenylalanine	 1623982.28	 8482253.89	 1151120.46	 1332456.80	 1419908.27	 5563986.581	 1112565.44	  767847.28	 1005837.47	 1480611.43	13124521.90	 1058103.505	 3475704.227	 1361944.28	 1623591.14	  819601.66	12038492.03	 4068227.779	 1883922.10	 1233173.65	18075241.51	  985032.67	 1553725.38	 1537512.07	 3950385.79
L-Tryptophan	  795496.87	 1949337.14	  491432.85	  603873.95	  875890.78	  960210.494	  624959.32	  531961.90	  518074.66	  781583.66	 2319915.72	  557446.117	 1008217.582	  539703.72	  677719.53	  527840.95	 1324227.42	 1472358.493	  700905.21	  685302.37	 1337547.75	  731815.28	 1137060.10	  628647.41	 1518710.29
L-Aspartic Acid	  710156.49	 1218806.07	  410067.83	  867933.61	  668459.52	  929587.093	 1958121.59	  528177.85	  650725.51	  779320.91	 1069136.06	  544970.959	  874316.835	  797955.31	 1687953.69	  822080.66	  552881.75	  625954.593	  948715.73	 1544765.75	  553254.89	  535298.50	  519771.64	  741824.64	  886590.00
L-Arginine	 7303672.97	 9756206.15	 4001578.68	 4382834.94	 5073449.92	 4354636.687	 7156602.74	 4215411.65	 2557303.21	 5110216.74	10578106.62	 4798724.257	 4238808.085	 8594715.40	 9121889.97	11306250.10	 4797242.02	 8460166.570	 4600717.06	 9212572.46	 8342693.94	 3653772.79	 7574712.03	 4291712.39	 9935035.26
L-Leucine	 3588137.86	13114556.29	 2788987.62	 1816502.91	 2002596.73	 6337717.550	 2713565.63	 1833400.65	 1580513.40	 3131892.59	16552899.78	 2952755.486	 4816373.467	 2430629.91	 4344553.91	 1804642.34	 8220143.26	 7054648.304	 2140346.21	 2646091.93	10371561.77	 1456788.21	 3494669.36	 2281088.13	 9968502.45
L-Glutamic acid	 2642294.18	 6291137.15	 2039274.87	 3664199.00	 2322565.44	 3100411.744	 3446288.61	 2186529.63	 2463368.86	 1728730.17	 6579662.48	 2873264.407	 2443161.927	 3687177.29	 4477989.80	 3846286.58	 5335347.73	 3231210.486	 3074488.82	 3318750.80	 4613222.90	 3819263.00	 4155458.84	 2172640.03	 1381556.16
L-Glutamine	 4583532.71	 3905944.23	 3755052.54	  755739.03	 2690426.83	 3235553.658	 2121663.49	 4115162.26	  696247.70	 5359723.34	 4834274.62	 2274727.708	 2842413.746	 1275949.14	 2562744.29	 1595869.14	 1807677.57	 2186200.791	 1061660.22	 3049044.86	 2365733.78	  981553.95	 3755798.52	 1756387.70	 6131800.40
L-Histidine	  941606.18	 1310019.93	  867454.16	 1448084.79	 1195881.43	 2108073.907	 3617492.08	 1030444.31	 1024546.61	 1593757.91	 1136767.90	 2180937.718	 1469482.016	 1208463.33	 1399226.00	 1554722.19	  592740.56	  700412.756	 1246193.70	 1291594.18	  937398.46	  907349.42	  909643.60	 1204375.60	 1469161.19
L-Lysine	 7124447.33	10451011.15	 6879228.21	 7088876.36	 8363575.65	10110072.313	 9310833.28	 6528366.15	 5577929.68	 6206629.27	12572751.25	 9415986.295	 7783448.375	10472267.24	11428046.31	11908581.29	11756933.82	10658223.687	 6092256.48	12390326.99	12772473.33	 7711730.72	 8028856.06	 6732488.69	 8322117.92
L-Methionine	  227136.30	 1461994.77	  351893.91	  211362.29	  154348.97	  696293.045	  300121.74	  264623.62	  333145.83	  441555.44	 2276674.90	  517123.748	  787619.160	  271654.70	  183907.46	   88180.87	 1275313.27	  750480.009	  269892.58	  108877.36	 1475413.07	  124992.97	  265139.03	  340135.40	 1115002.17
L-Proline	21290462.27	25720478.03	34990935.04	18779216.81	39972225.94	27003525.101	66541297.90	53441574.15	21395121.08	13319801.12	28708584.69	18566831.986	24134931.628	27313934.26	23732365.75	32339378.02	21524557.69	14824501.222	31480792.26	27479413.09	19817650.37	20871696.91	18838795.62	22783080.03	17729266.03
L-Threonine	 1254161.58	 1911338.54	  744146.69	  659203.08	  811575.27	 1309221.701	 1103338.88	  947254.75	  676859.44	 1437337.07	 2057270.14	 1112603.623	 1122247.919	  669131.11	 1188287.26	  820249.30	 1122410.48	 1051211.053	  754280.52	  892947.57	 1127103.05	  625919.88	  917309.31	  869393.23	 2257556.61
Thiamine	  544642.37	 5088619.57	  437486.41	  332742.46	  413869.63	 6454116.016	   59263.53	  371526.70	  786082.22	 4411537.76	 5155233.15	 2461460.113	 7820952.879	  117566.92	   16185.94	   26189.70	 1825432.15	  487264.724	  548102.89	   58423.33	 3528561.50	  269355.48	  804103.65	 1792615.33	 3394150.92
Adenine	 1283365.00	  408014.54	 1531457.01	  683493.84	  352962.30	  268630.424	  421081.97	 1021154.61	  271684.63	  476732.15	  204119.36	  227381.146	  174200.051	  360081.80	  410715.23	  463903.54	  171948.10	  582298.662	  430605.61	  597861.07	  180568.73	  385804.39	  895821.81	  554299.51	 1405613.27
Guanosine	  317286.06	   90244.52	  117943.68	  119798.99	   71758.49	   31952.924	  210226.01	  146875.69	  149424.45	  246875.53	   78328.40	   52791.542	   47300.870	  104680.84	  352001.20	  185803.50	   58848.38	   52742.070	  225340.84	  342650.82	   65575.88	  111738.62	  135131.76	  255607.54	  679256.12
L-Valine	 3183592.51	 5500886.20	 1424714.99	 1465201.33	 2061259.87	 2108924.156	 1274263.29	 1006163.02	 1954085.76	 3196401.71	 4891955.80	 2602928.156	 1714070.183	 1701518.44	 2982403.02	 1071228.60	 3338408.49	 4123943.802	 1395437.75	 2881141.77	 5056964.86	 1367248.62	 1854461.59	 1728882.78	 7368018.07
L-Alanine	   45612.67	   44071.15	   20879.94	   21802.12	   18672.27	   31058.619	   42761.56	   19504.37	   18376.36	   34767.82	   30945.16	   20395.895	   27855.180	   15278.17	   40560.65	   20995.30	   12349.64	   20320.605	   28707.32	   41931.32	   22120.46	   23576.99	   41093.06	   28971.87	   52536.41
L-Asparagine	   44362.36	   85119.98	   19526.52	   27768.75	   17558.51	    6064.473	   24777.95	   28260.42	   29595.22	   17431.94	   15350.11	    6913.566	    6682.314	   38148.04	   18142.26	   48108.57	   43636.23	    5395.249	   20806.78	   35146.29	   66799.12	   19195.77	   25181.80	   27343.03	   32545.57
L-Isoleucine	  506768.90	 1165136.94	  622197.49	 1161458.53	  710698.23	 1528450.971	 1372303.05	  401145.54	 1339489.23	 1074402.53	 3113546.84	 1184080.507	 1179020.195	 1148553.76	 2140746.44	 1001303.67	 1030567.40	 1819802.960	 1497239.19	 1180163.28	 1514671.78	  893429.38	  269643.03	 1392064.81	 1968388.84
L-Serine	  425771.02	  427532.80	  153239.38	  254338.84	  223130.75	  252035.429	  360075.65	  166911.04	  399733.47	  651753.74	  598815.22	  196441.951	  329347.877	  158506.49	  654173.58	  332691.62	  269985.45	  176393.157	  409838.60	  365669.34	  295598.84	  134861.90	  227599.13	  734691.83	  755086.30
Lactic acid	 6631647.38	 5409916.90	 4010626.85	 1796054.37	 1977636.07	 1442230.500	 6034466.85	 2053264.20	 1342252.40	  571119.68	 2637007.62	 3348532.090	 7870771.073	  136164.35	 4779832.90	 1838649.16	  664433.48	 3846369.627	 1143633.71	 3739240.48	 2494898.79	 4611573.66	 3008757.72	 1987835.17	20110753.33
Sulfoacetic acid	 1100151.50	  813179.46	 1325716.77	 1321163.84	 1043688.81	 1524812.258	 2252859.04	 1273178.53	 1320217.10	 1023976.34	  841855.17	 1435951.050	 1449073.101	 1628399.47	 1957508.38	 1679483.39	 1106554.00	 1664086.256	  964441.33	 2226589.72	 1188805.90	 1464550.39	 1195220.42	 1034373.79	  645828.66
