genome,D300420,D300430,D300462,D300449,D300492,D300446,D300419,D300432,D300444,D300482,D300501,D300431,D300463,D300452,D300479,D300445,classification
D300511:bin_000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48863747248491,1.6120685062142048,7.900460176228279,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella merdigallinarum
D300519:bin_000006,0.0,0.0,0.0,24.346805827255363,0.0,67.31032749317377,23.478257707058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger avicola
GEXTRA:bin_000001,6.538134103664637,0.0,0.0,0.0,0.0,1.634358690797332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis
GPB:bin_000001,0.0,0.0,0.0,8.089920768668215,11.60427548569298,8.419882699473044,6.048976872313549,4.80226131597432,4.36570852929189,4.496363625852366,0.0,10.038040289175571,0.0,0.0,4.202028333656117,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster excrementipullorum
GPB:bin_000002,4.800186329441153,12.021593127213382,11.777114422119066,13.897870797948489,35.29070173073402,18.20532276906952,18.396570111435707,12.63341938130442,14.10638980937428,15.928019761831944,5.757603337563165,5.970607474895098,20.095213190361857,14.225599734774308,22.425196755391724,19.750291270895836,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis
GPB:bin_000004,20.792441109751795,1.8882442955250849,15.977509186259404,0.0,0.0,0.0,0.0,0.0,0.0,11.974892498902191,0.0,0.0,0.0,0.0,2.791963085039538,16.841968328995527,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter stercoravium
GPB:bin_000009,0.0,0.0,0.0,0.0,104.39550021817716,0.0,14.643643036574824,11.549197274381608,4.285159729945812,2.758923139526149,5.357266751618458,19.133935156948976,55.20334817345686,20.43669068749597,14.10499490919989,28.817990182315057,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
GPB:bin_000010,56.6229279025751,352.4132162960563,30.18315069106155,62.499267308997695,149.1029341044499,54.1883138778924,38.99230249014097,56.54675955192715,93.7160953147483,74.93834365823636,101.51772608008108,40.79957544889536,62.80573698630482,52.47425812278578,142.99604126263617,55.73689176404891,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
GPB:bin_000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.602365132011924,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladocola;s__Choladocola sp944381625
GPB:bin_000015,26.44428834425057,12.760349101344843,13.675151392015785,25.145158269338825,36.03676871444275,20.457727262626296,14.102985531647665,0.0,0.0,18.953532903647343,0.0,3.459729276472715,0.0,13.625584449804055,16.3476537303922,56.294236872552496,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter pullicola
GPB:bin_000016,0.0,1257.408980785985,0.0,123.69422101942428,0.0,124.08895539386484,173.42789643788564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__Fournierella sp002161595
GPB:bin_000017,5.873463900823164,60.788318425518085,4.331681213445014,7.901123276048812,0.0,7.441943574445808,12.003278102209546,9.87052314246516,2.5112090674416927,4.960308506029316,10.598111212903458,0.0,0.0,0.0,10.85327686114521,6.796054205177269,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa
GPB:bin_000021,2.4607021860247724,0.0,0.0,0.0,0.0,0.0,0.0,55.53123186251722,22.068017541937703,125.82790104770103,45.55366623170714,42.70060585666676,73.65254884505532,100.0438517052726,21.541608739202264,34.06684230368044,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus stercoravium
GPB:bin_000022,32.204617648095855,0.0,14.895689425823058,8.310628668138998,5.374314452667985,19.4352868961494,114.8826275654936,13.55909249720332,11.313654532225131,48.43125454761088,22.764578799078137,16.17899716966315,88.40767909172791,41.67598893508176,17.505376998945437,31.54988188231825,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter pullicola
GPB:bin_000023,0.0,0.0,0.0,4.452078195859595,1.5153475059011756,2.818166880508466,8.03773955499082,2.418186839782648,1.5173497897760844,5.867454528292113,2.502568803082373,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas;s__Sellimonas intestinalis
GPB:bin_000025,15.70099225729412,31.258008578797543,19.25866539463685,16.94434146808388,23.688285356338454,10.17993157903922,20.20081536124078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius
GPB:bin_000029,0.0,0.0,0.0,7.289381848368807,1.3670871746682474,14.084512614022833,7.242640704233239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter merdigallinarum
GPB:bin_000031,0.0,0.0,0.0,91.89191047288357,11.297503427106152,36.35321660244842,70.28802738779275,0.0,0.0,0.0,0.0,21.36704696043444,42.84406744835473,4.219621207482869,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecigallinarum
GPB:bin_000033,0.0,0.0,3.950602555109644,5.263445373319687,4.219121925416556,7.52984027689937,23.971617239515652,6.236143532306842,5.582374113128571,6.291037567701205,6.10613134321493,0.0,0.0,0.0,1.910812644457988,4.247754792267976,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis
GPB:bin_000034,25.380738293604967,28.822917322843832,34.327767395596865,69.37769907540263,99.20049430068818,55.821992647705,39.11675248491862,0.0,0.0,57.176497853182745,0.0,6.011671593342028,0.0,31.92886145193439,40.25875350058366,48.5759302939596,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900545895
GPB:bin_000039,6.860104462727194,2.3149914317502414,0.0,0.0,1.062459903412457,2.07059391402801,1.2453095425891694,2.201417655869159,1.2034956251019666,0.8681562868382606,4.290733532952495,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum
GPB:bin_000053,59.0608562880509,0.0,3.3381261828920428,89.39998103502327,44.01756582588603,94.68850025738185,54.99581996431488,0.0,0.0,0.0,0.0,32.45584837307592,154.8786435010121,62.92569599529359,28.560432478877274,24.56854677963084,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter excrementipullorum
GPB:bin_000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.474395127432086,0.0,14.73567188737035,18.50607921421545,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Merdisoma;s__Merdisoma faecalis
GPB:bin_000058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58336130653227,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__
GPB:bin_000059,12.78596898824531,4.731947491752495,44.61044583538657,4.531150991506405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.06200619805296,0.0,9.961700175530911,11.420328933171405,46.12347096934791,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter avistercoris
GPB:bin_000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3782243158452587,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_A;s__Lachnoclostridium_A stercoripullorum
GPB:bin_000069,8.6424170555252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus;s__Catenibacillus faecigallinarum
GPB:bin_000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.913043408833783,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900557315
GPB:bin_000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.339696911397405,6.280635324923853,5.5589228283502425,0.0,0.0,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter urolithinfaciens
GPB:bin_000084,8.073213302261712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__
GPB:bin_000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1391124725077963,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__
GPB:bin_000087,1.0608004281526098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.339961782539781,3.795338212704843,0.7824421412920495,1.1360141456940076,3.795253797758108,2.313813690022125,1.2955583950242453,0.8259580463342387,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Rubneribacter;s__Rubneribacter badeniensis
GPB:bin_000104,5.441067629642201,5.14114713427692,90.29652623195211,0.0,0.0,0.0,0.0,53.895022897193954,43.27456985457483,31.784671309249084,47.25163252098704,27.858276122624456,42.20175022869026,18.350289392645152,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccovicinus;s__Caccovicinus merdipullorum
GPB:bin_000111,7.404310083049352,76.56171824916734,6.330211551716658,2.9359850000241,0.0,83.57560479497944,0.0,55.99333869964862,4.733234683106229,11.725141829784976,8.50554546024187,58.53692394453093,284.8363354171989,130.2026346358698,78.57712310873536,182.7926369012903,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinigallinarum
GPB:bin_000112,338.34353831033866,135.16334885642328,110.09659882120307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.730854091747691,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor avicola
GPB:bin_000115,8.928008683991457,3.838558926822948,0.8195516938306255,0.0,0.0,8.426918906628757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum
GPB:bin_000123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.436804545296935,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia gallistercoris
GPB:bin_000124,31.21781053770425,7.604256206348604,15.815047174499028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405562892331083,28.72850919567197,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas faecavium
GPB:bin_000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.530886954768327,6.982663140064706,17.593968333429977,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas stercoravium
GPB:bin_000127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.31702682114124,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Onthovicinus;s__Onthovicinus excrementipullorum
GPB:bin_000130,42.06161150696027,3.87001753072912,16.821389055768304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71515529854261,94.36314899777258,35.45452918189558,31.562248632054946,59.431577016061816,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum
GPB:bin_000131,53.02369137527653,0.0,3.131741480971082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61553447350824,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__Borkfalkia excrementigallinarum
GPB:bin_000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.01588439534537,0.0,27.703938859382845,6.66926116377073,0.0,10.253000238178156,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__UMGS1370 sp904395885
GPB:bin_000140,14.078015547051418,9.640128782690136,11.615155851015336,38.05448625938727,86.44794254357116,33.316945412022484,29.66707278572812,41.472102483655405,43.17139806675272,51.30918770913436,28.315841581920395,9.94675244142354,53.14538836359636,26.50932755272955,40.30580991367521,90.57283884758633,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
GPB:bin_000143,136.38800111744268,202.11522002086195,67.73805660646572,129.4531054076067,358.52741721014985,200.96784287380743,166.02398525704598,260.8769460763493,173.27709120307946,245.3640728093847,130.65676886352392,440.5434341647955,205.99412949123013,116.55338304945472,165.74022398140522,73.0936429812029,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia ornithocaccae
GPB:bin_000145,0.0,0.0,11.080491322506797,0.5749733680699759,0.0,3.113182918777047,3.04032917601654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6753061486249343,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_A;s__Paenibacillus_A macerans
GPB:bin_000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.317463400566137,3.684007625229545,18.315844949361523,58.72120832878234,60.61544996763636,33.89526716012928,25.315713665420724,34.53927138488954,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q saccharolyticum_A
GPB:bin_000152,0.0,0.0,0.0,16.51123433824099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_G;s__Ruminococcus_G avistercoris
GPB:bin_000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.674301418808945,38.62683721784115,43.6807789474838,36.90377759936869,13.817100922308017,44.892695380787714,23.770598486384586,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp900552925
GPB:bin_000171,0.0,0.0,0.0,6.4565268310086745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum stercoris
GPB:bin_000173,0.0,0.0,0.0,32.285237163858575,14.985118942544643,26.643107303999248,26.832770807001687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Pseudobutyricicoccus;s__Pseudobutyricicoccus lothianensis
GPB:bin_000184,0.0,0.0,0.0,31.851794330054755,96.01779311981784,47.31809450690172,31.652412928143285,0.0,0.0,0.0,0.0,22.12456649050345,12.066970349195838,13.187919315586123,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae
GPB:bin_000197,0.0,0.0,0.0,5.671682929103421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.30980996090414,141.20520160257624,95.97109262421256,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor avistercoris
GPB:bin_000200,0.7484767879303577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950303910979562,2.1177219232822875,4.174442220342165,0.0,0.0,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum
GPB:bin_000208,108.83930527116868,77.05392124981218,251.7596228674721,237.98503072126,86.53886263683277,181.0879415223302,104.76678530552684,0.0,0.0,0.0,56.248313302279406,15.166673768551806,31.716495735504868,18.63179566306564,116.95126536904012,222.5965912446465,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella intestinigallinarum
GPB:bin_000210,3.6000295189317764,0.0,3.5895623466948336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Gallacutalibacter;s__Gallacutalibacter pullicola
GPB:bin_000215,0.0,0.0,0.0,14.016655276379929,0.0,0.0,0.0,0.0,0.0,0.0,178.56933974605656,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
TG1:bin_000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3170676133977932,0.0,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__Merdibacter merdigallinarum
TG1:bin_000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6878215258765998,0.0,0.0,3.1251986418922324,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum
TG2:bin_000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035841523547807,7.675597462672676,7.235542348438255,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E
TG2:bin_000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556651454030268,1.3166163414431389,0.7347647019868483,1.3636421277776916,1.0130094107933163,6.201908648094945,0.0,0.0,0.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum
TG2:bin_000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3073946354174797,5.779565278449608,3.379780610732286,3.987485761542903,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pullilachnospira;s__Pullilachnospira stercoravium
TG2_07:bin_000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.20557515818397,2.0861510630218576,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter vanvlietii
TG2_14:bin_000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.176579412390043,78.741639884006,87.08938277399258,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Heritagella;s__Heritagella sp905215105
