sample,batch,animal,tissue,treatment,day,treatment_expl,dpi,day_code,type_simple
D300418,S3B009,G041,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300419,S3B009,G026,Digesta,TG2,7,Pathogen&ProbioticWater,0,a,P
D300420,S3B009,G004,Digesta,TG1,7,Pathogen&Probiotic,0,a,P
D300421,S3B009,G013,Digesta,TG1,28,Pathogen&Probiotic,21,d,P
D300422,S3B009,G073,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300423,S3B009,G058,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300424,S3B009,G062,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300425,S3B009,G063,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300426,S3B009,G070,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300427,S3B009,G045,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300428,S3B009,G020,Digesta,TG1,35,Pathogen&Probiotic,28,e,P
D300429,S3B009,G082,Digesta,TG4,14,PathogenOnly,7,b,P
D300430,S3B009,G003,Digesta,TG1,7,Pathogen&Probiotic,0,a,P
D300431,S3B009,G079,Digesta,TG4,7,PathogenOnly,0,a,P
D300432,S3B009,G054,Digesta,TG3,7,Pathogen&ProbioticFeed,0,a,P
D300433,S3B009,G105,Digesta,TG5,14,Control,7,b,P
D300434,S3B009,G111,Digesta,TG5,21,Control,14,c,P
D300435,S3B009,G056,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300436,S3B009,G103,Digesta,TG5,14,Control,7,b,P
D300437,S3B009,G072,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300438,S3B009,G088,Digesta,TG4,21,PathogenOnly,14,c,P
D300439,S3B009,G036,Digesta,TG2,21,Pathogen&ProbioticWater,14,c,P
D300440,S3B009,G069,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300441,S3B009,G057,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300442,S3B009,G108,Digesta,TG5,14,Control,7,b,P
D300443,S3B009,G097,Digesta,TG4,35,PathogenOnly,28,e,P
D300444,S3B009,G053,Digesta,TG3,7,Pathogen&ProbioticFeed,0,a,P
D300445,S3B009,G101,Digesta,TG5,7,Control,0,a,P
D300446,S3B009,G027,Digesta,TG2,7,Pathogen&ProbioticWater,0,a,P
