genome,D300418,D300419,D300420,D300421,D300422,D300423,D300424,D300425,D300426,D300427,D300428,D300429,D300430,D300431,D300432,D300433,D300434,D300435,D300436,D300437,D300438,D300439,D300440,D300441,D300442,D300443,D300444,D300445,D300446,D300447,D300448,D300449,D300450,D300451,D300452,D300453,D300454,D300455,D300456,D300457,D300458,D300459,D300460,D300461,D300462,D300463,D300464,D300465,D300466,D300467,D300468,D300469,D300470,D300471,D300472,D300473,D300474,D300475,D300476,D300477,D300478,D300479,D300480,D300481,D300482,D300483,D300484,D300485,D300486,D300487,D300488,D300489,D300490,D300491,D300492,D300493,D300494,D300495,D300496,D300497,D300498,D300499,D300500,D300501,D300502,D300503,D300504,D300505,D300506,D300507,D300508,D300509,D300510,D300511,D300512,D300513,D300514,D300515,D300516,D300517,D300518,D300519,D300520,D300521,D300522,D300523,D300524,D300525,D300526,D300527,D300528,D300529
GPB:bin_000056,3.2969882449355903,0,0,0,0,0,0,0,0,8.306015827080184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3507162308670746,0,0,0,0,0,7.023160123270246,0,0,10.495471269666469,0,0,0,0,0,0,0,0,0,0,21.648803578593316,0,0,0,0,0,32.81654160370835,0,0,0,0,0,5.865474086784302,0,0,0,0,20.019250305187764,5.190592960620107,19.178329961328654,0,9.358220008365986,0,0,0,3.5054976481334457,0,0,0,0,0,0,0,0,0.8104015673419213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,0,0,257.0527147377554,69.78503895816677,0,0,0,0,0,0,207.2325134822477,0,19.766165937973156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.39241208894032,0,0,113.07677012980386,0,0,0,0,345.8799931100186,0,0,190.2767794865688,0,0,0,178.31442132661917,0,236.21870800088467,0,0,0,0,0,0,0,107.67695981694766,0,0,0,68.91571043364353,0,0,95.99790961365068,0,0,0,249.67868018577434,0,0,0,0,0,0,0,0,0,0,152.30091356050426,0,0,0,0,0,0,0,0,0,0,84.34373989894695,56.67371259420562,0,0,0,0,0,201.43812413875233,76.64450460182712,0,0,0,0,0,0,0,77.86481813851415,0,0,0,40.01845834538371
GPB:bin_000009,0,14.643643036574824,0,0,0,11.886554763993107,0.9216192624331827,0,1.7869597153051031,0,0,1.4346939317700906,0,19.133935156948976,11.549197274381608,2.537821672722046,13.577986719003698,2.0586060324691178,21.546441151325492,0,0,0,1.5423776855714666,3.182834743282046,18.162745817220113,0,4.285159729945812,28.817990182315057,0,0.942863581274189,0,0,0.9642512490952291,1.7833186512122452,20.436690687495975,0,1.0842630151795103,7.168939831081385,1.2423196005647568,3.730829224155183,0,2.4732859619108383,1.0409429534133017,0,0,55.20334817345686,0,0,0,0,5.4280238081631325,0,8.891793882515381,0,0,0,0,1.0817974127229293,1.628501752775762,49.6615052751469,0,14.10499490919989,0,0.9315676816475271,2.7589231395261495,0,0,0.9107247399506154,1.5757493281233308,1.685755335401254,0,0,0,0,104.39550021817716,0,3.3607881670959814,0,0,0,2.097482275854279,0,0,5.357266751618458,0,0,0,0,15.148718832825848,2.6893415446177524,0,0,0,0,0,7.71730701930261,0,0,0,0,0,1.4786733988444545,0,0,0,0,0,1.956742247257113,0,0,3.660932261490711,0
GPB:bin_000051,0,0,0,0,0,2.3340782373751288,1.1287649243453235,0.817422810469989,0,0,0,0,0,0,0,0,0,1.642584650083629,0,0,0,0,0.6373527641610202,1.8727479101383224,0,0,0,0,0,0,0,0,0,1.146347739512698,0,0,0,0,0.7583277134525698,1.560531512635881,0,2.6928259523647107,0,0.6981316666824974,0,0,0,0,0,0,0,0,0,0,5.300878773775118,5.069646944842849,0,1.2524274862683502,2.0720845771187237,0,0,0,0,0,0,0,0,0.8623350842032276,1.2157399548049332,1.4646193606547326,1.4695412536665944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1939152450023358,0,0,0,1.412712817904638,0.6933716780460257,0,0,0,0,3.7222463519706137,0,0,1.765405309254627,0,0,6.197990917812159,0,0,0,0,1.1712486324477092,0,0
GPB:bin_000010,4.233567395281911,38.99230249014097,56.6229279025751,6.0412500307257515,3.7351484321673096,67.03016544005264,5.142545428417822,63.09916003673224,27.957692373143612,0.7404748594021116,2.667530979436121,15.90484660129067,352.4132162960563,40.799575448895354,56.54675955192715,31.717957137733933,35.79093127074776,22.815777216555727,42.352596751452936,28.4219506030756,2.5740931806478815,14.249910343832191,11.489099133565315,35.63572683262564,15.881463516399988,3.2285674488550167,93.7160953147483,55.73689176404891,54.1883138778924,19.551378814168764,0.6231497582592396,62.499267308997695,22.886115552776758,103.13254553556403,52.47425812278578,6.3952422040101675,7.670313629565295,50.95032386517981,21.381341558800894,55.471263701321746,1.5846924620119411,8.161011762763161,17.128929035803854,11.654072785051465,30.18315069106155,62.80573698630482,11.896569871619931,4.629252050116695,6.517924615707509,4.512399652846276,12.790295326471353,6.477051487536059,27.51448522233154,18.67410345407871,6.026281074764735,9.39602941352576,0.7846884282722295,9.379862941087861,8.262989744847054,27.119619920875675,1.763406039390729,142.99604126263617,4.3021409703791145,18.83513790662775,74.93834365823636,14.014755924082497,2.5864149949231603,6.290112862776587,6.246025348272457,5.817314449548946,1.1647423417245624,7.2914257189983465,1.9644942667322989,1.4257063929101983,149.1029341044499,1.8588607080347683,37.73402780885368,1.2178742569882965,1.8252987330905945,1.2428960486368166,8.184804524343305,19.64733770027675,7.3711866190769415,101.51772608008108,1.466674061856138,0.9576665319985856,10.743960262621666,1.6902629935264781,9.401292183305738,15.891264243355517,1.6963136030938784,1.4991645746894178,5.2509206695755815,3.228252312940048,2.7569665521042572,12.945027060721019,1.09686206564029,4.278852426262923,11.218302841832655,10.78820534508328,36.24066173499969,11.769065880423568,2.7459367950803504,0.6798742229536177,6.282927763915299,19.23974090785615,5.579229265790042,16.3868469832354,4.440296555501422,10.721995289348342,12.69175232586062,0.9521831670781291
GPB:bin_000002,0,18.396570111435707,4.800186329441153,0,0,1.0747384594562979,0,0,0,0,0,0,12.021593127213382,5.970607474895098,12.63341938130442,0,0.6627757106563968,0.9078052206865547,1.3724485272787454,0,0,1.2833755005111993,0,1.5518142203146301,1.0552242274436199,0,14.10638980937428,19.750291270895833,18.20532276906952,0,0,13.897870797948487,0.5826729357011301,0,14.225599734774308,0,0,1.1609787751252294,0,1.12678952589334,0,10.028584153289538,0,0,11.777114422119066,20.095213190361857,0,0,0,0,0.7535011522314681,0,0,0,0,1.1328090369778958,0,3.090369778959356,0.7756513792942458,1.5300574253488823,0,22.425196755391724,0,0,15.928019761831944,0,0,0,0.8734979418255564,8.274939267198622,0,0,0,0,35.29070173073402,0,1.2565827747034701,0,0,0,0.6069476960878686,0,0,5.7576033375631654,0,0,1.1941451009048414,0,1.4577052627051026,0,0,0,0,0,0,0,0,0,0,0,0,1.3648552878060705,0,0,0,0,0,0,0,0.9822032302348894,0.6204424170159906,0
GPB:bin_000200,0,0,0.7484767879303577,6.791002382037923,0,0,0,0,0,0,0,0,0,1.0950303910979562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9285559291288861,4.174442220342165,0,0,0,0,0,0,0,0,0,0,2.1177219232822875,0,0,1.2617242833771787,0,2.6445009545218494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.750688157833784,0,0,0,0,0,0,0,0,0,0,0,1.3083166525662375,0,0,0,0,0,1.347375247773392,0,0,0,0,0,0,0,0,1.4036225506091629,0,0,0,0
GEXTRA:bin_000001,0,0,6.538134103664637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634358690797332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000087,5.443877707503898,0,1.0608004281526098,2.6768823759318354,5.730508659144545,3.374023213547586,3.351315592875716,11.394540547734824,12.591882152232227,0,1.7041267372244309,3.284121295274198,0,1.1360141456940076,0,1.4063108051413205,0.834441748481164,6.216443300027885,1.7302531632390914,3.4965937162076415,8.075809124299038,4.508138022940043,2.664051304028028,11.729963338588632,2.0016894244673344,5.62832436612113,3.339961782539781,0.8259580463342387,0,4.056771302744921,8.010640785419175,0,4.503495200869587,2.749901304858108,2.313813690022125,7.496216100012577,1.5309916814697655,0.8959380371780308,7.38799613829757,4.468378583027587,0.7234360935238823,1.9914330084389622,1.2512405479880682,4.667851102163752,0,3.795253797758108,0.8800680271917426,4.385440897859884,1.9754785835059383,2.663587021820982,3.6537321395559155,2.6835933641973138,2.4939129788824754,0,2.019289940861702,1.1361829755874788,7.922764825867441,2.303261821680178,2.159123300129183,1.4821154273098673,3.3029036209228635,1.2955583950242453,12.130934335582616,3.474814659949863,3.795338212704843,1.4737583475830454,5.303833310869578,5.872747844393989,0,1.0653588352763308,8.054114482987996,11.334352690712358,12.209440236046701,3.809688753649891,0,4.926160839174613,5.685473285061115,3.4065651755141504,1.7979117430476552,2.8377350569364745,3.013444768566575,3.3649908142468794,2.9232473979796127,0.7824421412920495,3.8865907701260003,7.378246211949611,3.267069476033612,0.7136017522291876,0.9876970842796013,4.163514002892056,6.947139078971026,4.274308620482499,2.292372293551289,3.808886811655903,7.127998102351997,3.159651456312592,3.231784028298141,0.7737051943049175,7.159653707377838,1.794788390018439,5.710966598975259,5.0126017446318425,3.0449315436989446,5.314258556791422,0.7669942060394392,3.364273287199627,2.770414136914853,5.051854694863885,6.897376467870405,1.597890526757709,1.3812817734342222,0
GPB:bin_000078,4.52811171476097,0,0,0,0,0,0,0,0,1.7889582584919121,0,0.8622583012260089,0,1.339696911397405,0,0,0,0,0,0,2.4596367090999793,1.6375161104140101,0,0,0,1.9481044618823775,0,0,0,0,2.1613067439853038,0,0,0,5.5589228283502425,0,0,0,0,0,1.701404436514328,0,0,0,0,6.280635324923853,0,0,0,2.111975251679995,0,0,0,0,0,0.7764495967501656,2.7692035283722056,2.091544607757175,0,0,2.5200348001968154,0,0,0,0,0,2.529015770754555,0,0,0,4.07310424906317,2.3291785348844734,3.1324859156248457,1.449043420225997,0,0,0,1.9633848809829864,1.7412867560053324,0,0,0,1.9153728677643598,0,1.4917775170978953,0,1.786659811050595,0,0.929168660073244,0,1.480625790623356,0,0,2.923540017672507,3.9480516827189103,0,1.785595715012948,0,0,0,0.7358862557950671,3.1702826068820626,0,2.2323883593001144,0,0,0,0,2.424734359065162,0.6097270295716546,1.5837154147505845,0
