sample	D300529	D300480	D300517	D300428	D300509	D300512	D300484	D300495	D300478	D300458	D300453	D300465	D300422	D300437	D300523	D300521	D300514	D300443	D300526	D300474	D300499	D300503	D300464	D300515	D300497
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G085	G086	G087	G088	G089	G059	G060	G061	G062	G063	G033	G035	G036	G037	G039	G008	G009	G010	G011	G012	G121	G122	G123	G124	G125
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5	TG5
day	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
L-Tyrosine	1330194.07494476	3761603.58873876	5205200.99642182	3080580.60526598	3892372.05318958	2121601.98382006	701756.168687122	1882659.75781753	631047.39383887	2317379.06103632	536540.631703852	374557.463944845	1005025.2432392	397442.551695511	918253.988013204	341450.402791481	676358.324937445	463288.425812592	519878.358243316	427363.05488429	1533389.56479911	1534082.74693483	799052.748349736	1154861.9086068	1293202.31571859
L-Phenylalanine	3950385.79224954	13124521.903876	18075241.508035	8482253.88565525	12038492.0312555	4068227.77902756	1058103.50467417	3475704.22687324	1480611.43267531	5563986.58097753	1419908.27490389	767847.278939821	1623982.28049608	1151120.46181054	1553725.38061354	985032.66670117	1883922.09856307	1332456.80413608	1537512.0705063	1005837.47107135	1623591.13827129	819601.662471136	1112565.44215972	1233173.65460769	1361944.27807352
L-Tryptophan	1518710.29238708	2319915.71739288	1337547.7534244	1949337.13794327	1324227.417589	1472358.49287555	557446.116916545	1008217.58184259	781583.663299965	960210.4938505	875890.784287388	531961.903274303	795496.869155635	491432.849435242	1137060.10204287	731815.276706748	700905.210597447	603873.946360258	628647.406451426	518074.659057941	677719.530673236	527840.950359791	624959.315670022	685302.366041993	539703.721834996
L-Aspartic Acid	886589.999325813	1069136.05830151	553254.887201038	1218806.07373698	552881.751997181	625954.592609511	544970.958700881	874316.834727945	779320.909465667	929587.093138289	668459.523827729	528177.846984808	710156.488977672	410067.831722451	519771.638338291	535298.503300695	948715.731314185	867933.609154104	741824.63877426	650725.512213325	1687953.68786875	822080.655650599	1958121.59220591	1544765.75089033	797955.309557442
L-Arginine	9935035.26302761	10578106.6179656	8342693.93852517	9756206.14503782	4797242.01524642	8460166.56959024	4798724.25677231	4238808.08462958	5110216.74401275	4354636.68734505	5073449.9169564	4215411.64628277	7303672.96538768	4001578.67990599	7574712.02856434	3653772.78659701	4600717.05672179	4382834.9414142	4291712.38622843	2557303.21387435	9121889.97323241	11306250.1036264	7156602.74099851	9212572.45898847	8594715.39744077
