sequence_id	D300418.lib1	D300419.lib1	D300420.lib1	D300421.lib1	D300422.lib1	D300423.lib1	D300424.lib1	D300425.lib1	D300426.lib1	D300427.lib1	D300428.lib1	D300429.lib1	D300430.lib1	D300431.lib1	D300432.lib1	D300433.lib1	D300434.lib1	D300435.lib1	D300436.lib1	D300437.lib1	D300438.lib1	D300439.lib1	D300440.lib1	D300441.lib1	D300442.lib1	D300443.lib1	D300444.lib1	D300445.lib1	D300446.lib1	D300447.lib1	D300448.lib1	D300449.lib1	D300450.lib1	D300451.lib1	D300452.lib1	D300453.lib1	D300454.lib1	D300455.lib1	D300456.lib1	D300457.lib1	D300458.lib1	D300459.lib1	D300460.lib1	D300461.lib1	D300462.lib1	D300463.lib1	D300464.lib1	D300465.lib1	D300466.lib1	D300467.lib1	D300468.lib1	D300469.lib1	D300470.lib1	D300471.lib1	D300472.lib1	D300473.lib1	D300474.lib1	D300475.lib1	D300476.lib1	D300477.lib1	D300478.lib1	D300479.lib1	D300480.lib1	D300481.lib1	D300482.lib1	D300483.lib1	D300484.lib1	D300485.lib1	D300486.lib1	D300487.lib1	D300488.lib1	D300489.lib1	D300490.lib1	D300491.lib1	D300492.lib1	D300493.lib1	D300494.lib1	D300495.lib1	D300496.lib1	D300497.lib1	D300498.lib1	D300499.lib1	D300500.lib1	D300501.lib1	D300502.lib1	D300503.lib1	D300504.lib1	D300505.lib1	D300506.lib1	D300507.lib1	D300508.lib1	D300509.lib1	D300510.lib1	D300511.lib1	D300512.lib1	D300513.lib1	D300514.lib1	D300515.lib1	D300516.lib1	D300517.lib1	D300518.lib1	D300519.lib1	D300520.lib1	D300521.lib1	D300522.lib1	D300523.lib1	D300524.lib1	D300525.lib1	D300526.lib1	D300527.lib1	D300528.lib1	D300529.lib1	D300530.lib1	D300531.lib1
D300418:bin_000001	1790620	12021	5871	11548	13246	11143	11395	11145	12816	1790196	11441	14247	10031	12682	10221	11249	10890	11681	11224	13426	14858	1790533	11782	11201	10935	13297	10131	10661	12794	11111	13991	11739	11762	11645	12255	11612	11140	11248	11607	11150	1790364	10876	11218	13809	6019	14230	29737	12129	11842	1790218	11072	12104	11090	13085	13579	23081	14167	1789236	11573	11110	1790509	11041	25502	11386	10243	11652	1790335	12843	12898	10650	13988	15641	1790470	14099	9652	11931	10977	1790336	1790526	25945	10955	26543	20604	10398	15977	26542	1790302	12251	14011	10863	14464	12548	11835	14550	1788692	10915	12649	19777	12102	20123	13852	1788613	14082	23034	20516	14494	11889	10765	13966	1789135	11410	12161	150	0
D300418:bin_000013	2330366	4668	2640	7866	6398	5267	6916	6552	6088	230439	8038	5983	2618	3372	4523	5107	6214	7204	5796	6386	7032	12468	7272	5980	5858	5565	4306	5125	4480	5704	6098	5568	7097	8192	4892	6573	7067	5565	6326	4482	164285	5774	5282	7171	1620	3949	9372	6701	8146	10586	7638	8157	5767	4836	5922	8709	7687	10727	7357	5245	246940	6096	7091	6686	6315	8718	16559	6637	8071	4494	7243	6542	127064	6071	2316	6131	5640	823603	12144	10368	6790	9856	6234	5572	6145	9544	26759	3675	8772	5161	5479	9416	6467	5379	10893	6466	4682	6942	10847	7017	5856	9060	6944	7846	3652	7816	7009	6779	6990	8728	5884	6727	0	0
D300428:bin_000008	58970	6832	8163	28871	107513	24647	24320	25782	104055	45228	1921636	32910	6450	30033	24699	25039	24944	24208	25850	106492	34378	60486	95770	24667	25094	35917	24009	23348	6623	101430	33466	6806	25302	27995	27731	108568	28061	24996	24411	24533	59850	26207	24761	101506	7153	29450	28092	102600	31275	54500	24956	37225	24871	25847	25560	54522	43565	69611	25696	24139	59549	24677	1844559	26144	24831	28692	54607	103054	36264	28015	33157	33535	41583	28466	6286	18572	24272	62605	48680	53063	22377	26199	30416	10820	30160	24258	48684	15255	48800	25790	26683	1916560	28427	28258	56275	25250	36372	31603	28937	1853053	32588	57028	22634	42128	13301	108589	22810	23963	40714	48823	41674	342771	0	0
D300430:bin_000010	2274515	2612866	2951549	2898133	282179	106158	103439	1218688	279196	1070139	2812477	2009139	2998987	1284869	73621	2562013	267702	149846	2798675	335494	2519316	2498789	259880	136328	148335	1927277	63603	196256	837601	273183	2490844	2840660	143805	773416	2478049	300133	730465	1424747	127005	82474	458146	2580282	1914838	256245	2948693	1739910	2922898	315789	2905379	1510403	435290	2823527	844916	2460844	453352	151543	2505458	2589343	2236351	146609	539091	2698605	2586052	144517	125411	2899626	512000	270152	2180742	2743002	2486198	2504303	2632132	2190679	81455	2885710	154448	557988	1830402	504183	600537	2928555	2482977	70976	2451988	2727105	2159678	2802746	2454651	2671354	2090689	2926235	2710034	2428207	635161	2629490	2462601	2769788	2961965	2309855	2512475	604709	2821794	1968515	360921	284526	2758786	345308	2402703	1549629	139516	2222601	0	0
D300432:bin_000001	12569	8245	6888	6727	6367	6237	6027	606058	7142	9615	6355	15201	5048	6744	2795208	19378	19366	2134338	19315	6587	22857	14401	5987	1103116	18755	21549	2243738	10548	11026	22983	17573	13133	5342	5172	11372	7638	5391	19703	7507	2663002	12359	2076397	19273	7781	6156	8571	21236	6805	8019	14191	6134	19721	17857	19499	18987	12750	19160	13586	2446657	11171	11744	10054	8358	6798	2795081	9629	10455	6897	13370	1638338	7613	19738	14400	17008	11506	17172	1474323	12551	13055	43609	5745	32817	21721	2794443	17823	35736	13609	18656	9849	18287	15536	9325	8031	15310	11780	19360	10774	17845	9501	10287	22532	14361	20171	13548	17485	7672	18363	261189	9543	8979	11793	8033	0	0
D300435:bin_000001	2537884	2478899	2541004	2539779	2543379	2544888	2543822	2544230	2544616	2390106	2540302	2542958	1415690	2542904	6333	2542294	2543503	2545293	2544415	2542879	2543265	2541135	2544591	2544801	2544462	1113505	4148	2544366	2542871	2543805	2543510	2541072	2544618	2541062	2543539	2544124	2535470	2544639	2544791	2544880	2540926	2541241	2544298	2544283	2540959	2543606	1704875	2544425	2490871	2539774	2541296	2543904	2544141	2529811	2150429	2534522	1424294	2511842	2539230	2544318	2541598	2544443	2542455	2544684	5898	2541217	2346534	2544315	2407709	2540846	19385	2543322	2537760	2542149	2543698	1615807	2544731	2375134	2509226	2367364	2535439	2476613	2538212	7758	2542198	2522471	2535813	2541807	529998	2543992	2538496	2538964	2541034	2537369	2466299	2544173	16396	576173	2541052	2539438	2542834	2525465	2543185	2541164	1179833	2543946	2539125	2478376	21961	1687840	2539269	2469473	0	346
D300442:bin_000001	70382	300	0	0	300	290	0	0	0	70307	0	0	0	0	148	2383266	126796	0	2383637	295	0	3630	150	0	2386309	1503	0	2272063	804	0	117	0	0	0	0	0	0	2375920	144	0	1574374	0	12366	0	0	0	0	243	0	12401	0	1579	2383933	0	0	740	698	100570	0	2383975	14587	2380219	0	0	147	150	45711	0	587	0	1531	34872	7798	92744	0	2675	0	557	18047	150	150	0	0	0	0	498	829	1756	360	325897	71139	150	0	0	6578	2165	150	734	0	0	150	758	7483	150	155	267	736	150	0	517	689	150	0	0
D300442:bin_000015	241518	36619	228257	402282	193193	173004	184297	295825	196269	461521	177684	375184	560841	330165	602180	583518	437853	588983	191355	239212	433808	348248	181063	184676	2854107	377248	397811	552470	384337	190127	359021	204930	176443	594101	498670	237248	307179	197327	169272	183520	338882	241586	2462648	210394	228152	621183	2839449	187380	415887	270821	558135	2090935	196683	369977	455664	262438	365261	210624	574059	40143	285614	550437	241459	191815	248931	380775	429352	199242	192735	168553	551884	430085	283838	442975	24137	2388512	215677	388445	248282	989439	319443	2836675	404328	396476	399180	2809351	218961	722677	196799	215582	373984	395676	372145	406587	227044	265103	363757	615188	401540	313947	364968	196067	1745279	493891	421476	156265	1068080	566954	376416	187218	194182	217721	0	0
D300443:bin_000002	12037	6580	7259	18315	14184	3339	4183	1153131	6344	9679	3869	32381	6493	11224	190	7973	7558	6587	6308	11880	46489	15060	4327	6391	6849	2697664	0	8381	4550	9096	44381	4082	4801	4054	13906	9210	3689	8268	388840	3335	16577	6988	7665	13704	6966	17146	749413	9174	14761	14605	4434	60525	8655	40435	42775	1605	2674496	11864	6012	7276	18350	7096	12642	6411	83	17820	12442	12498	2853	6695	43708	44631	13385	155032	2072	130596	5973	17272	10848	2682505	17306	118201	42623	2895	43085	2351345	12493	45683	2640	8569	1006649	76829	12546	44565	17613	8133	1053194	1144172	13402	13838	44027	4287	386911	2454453	40889	9897	192163	5812	2689969	2123	3311	15578	0	0
D300443:bin_000003	245136	370	1087	2077834	979764	300	1965	2088	51214	94026	2258990	38120	685	30907	1898	1710	2505	2424	1478	743574	2116775	289530	45451	2465	1222	3349711	0	578	646	49534	39242	939	2670	25141	33925	2216094	1266409	14826	2458	1601	390122	3672	73380	49286	781	30898	2440874	2015657	1879646	294963	24167	3122661	1255	30456	41146	365354	3348525	372826	3242	520	435338	1345	1271080	2202	1825	1447103	684402	48358	143659	23267	3139012	2768331	189148	3127842	518	2432290	1933	1997381	548177	2215400	22526	3124653	36535	1950	144451	1384821	409029	2972707	342537	2268	3003149	2148104	1655276	3058678	1515356	44966	3271101	2198010	1749451	1975229	3147538	666726	2506779	3348167	34181	2560963	3123786	22399	3349229	243813	170942	1240806	0	0
