genome,reactions,metabolites,exchange_reactions
D300491:bin_000003,700,901,127
GPB:bin_000126,1101,1532,172
GPB:bin_000115,1058,1568,193
TG3_14:bin_000007,942,1372,206
D300479:bin_000001,916,1301,188
TG2:bin_000059,1032,1490,194
GPB:bin_000135,1101,1645,199
TG1:bin_000032,1001,1391,160
GPB:bin_000035,978,1375,139
GPB:bin_000045,996,1409,184
TG1_21:bin_000035,1108,1649,213
TG1:bin_000010,836,1121,155
D300418:bin_000013,977,1362,186
D300521:bin_000006,1034,1512,193
D300442:bin_000001,876,1214,168
D300482:bin_000009,984,1416,159
GPB:bin_000010,1642,2581,352
GPB:bin_000042,1002,1427,182
GPB:bin_000032,1114,1597,208
D300511:bin_000002,1079,1545,190
GPB:bin_000112,1023,1478,173
TG2_07:bin_000029,1042,1535,186
TG1:bin_000014,933,1322,173
GPB:bin_000156,897,1269,151
GPB:bin_000043,764,1059,143
TG3_35:bin_000005,987,1421,176
GPB:bin_000057,1110,1582,193
GPB:bin_000027,1026,1412,171
GPB:bin_000212,819,1090,155
D300481:bin_000002,998,1438,181
GPB:bin_000075,965,1363,138
GPB:bin_000067,1036,1512,184
GPB:bin_000195,679,865,122
GPB:bin_000078,1029,1442,168
GPB:bin_000025,935,1260,165
GEXTRA:bin_000006,893,1263,177
TG2:bin_000003,999,1454,192
D300435:bin_000001,973,1376,152
TG4:bin_000055,1067,1528,185
GPB:bin_000149,944,1312,170
GPB:bin_000005,1148,1689,216
GPB:bin_000093,965,1345,160
GPB:bin_000133,962,1365,172
D300452:bin_000016,1104,1609,206
GPB:bin_000161,633,798,126
TG5_35:bin_000022,915,1274,175
TG3_28:bin_000042,998,1448,178
TG5_35:bin_000024,1126,1586,194
GPB:bin_000185,927,1295,165
GEXTRA:bin_000002,965,1402,205
GPB:bin_000094,1089,1575,208
D300462:bin_000001,936,1325,145
GPB:bin_000152,1104,1595,203
D300493:bin_000002,957,1315,173
GPB:bin_000168,1051,1548,181
GPB:bin_000173,1011,1400,183
GPB:bin_000065,1013,1455,182
GPB:bin_000022,1042,1517,165
GPB:bin_000023,1063,1568,196
GPB:bin_000217,1036,1452,184
GPB:bin_000053,1024,1470,174
TG3:bin_000068,978,1383,194
GPB:bin_000029,985,1441,165
GPB:bin_000002,1546,2407,354
GPB:bin_000155,959,1346,193
D300472:bin_000003,1017,1384,186
GPB:bin_000147,1045,1553,180
TG3_28:bin_000041,1073,1528,207
GPB:bin_000089,1188,1728,212
D300418:bin_000001,934,1294,178
GPB:bin_000028,1133,1595,165
GPB:bin_000026,927,1297,166
GEXTRA:bin_000004,960,1378,182
GPB:bin_000200,983,1330,171
D300443:bin_000002,992,1451,192
