sample	D300418	D300419	D300420	D300421	D300422	D300423	D300424	D300425	D300426	D300427	D300428	D300429	D300430	D300431	D300432	D300433	D300434	D300435	D300436	D300437	D300438	D300439	D300440	D300441	D300442	D300443	D300444	D300445	D300446	D300447	D300448	D300449	D300450	D300451	D300452	D300453	D300454	D300455	D300456	D300457	D300458	D300459	D300460	D300461	D300462	D300463	D300464	D300465	D300466	D300467	D300468	D300469	D300470	D300471	D300472	D300473	D300474	D300475	D300476	D300478	D300479	D300480	D300481	D300482	D300483	D300484	D300485	D300486	D300487	D300488	D300489	D300490	D300491	D300492	D300493	D300494	D300495	D300496	D300497	D300498	D300499	D300500	D300501	D300502	D300503	D300504	D300505	D300506	D300507	D300508	D300509	D300510	D300511	D300512	D300513	D300514	D300515	D300516	D300517	D300518	D300519	D300520	D300521	D300522	D300523	D300524	D300525	D300526	D300527	D300528	D300529
L-Arginine	 5555579.21	12667652.7	 9259658.693	10532432.13	 7303672.97	 6227694.78	10139930.80	 7574636.19	 6921887.99	 5946475.83	 9756206.15	 9197593.050	 3743620.94	 5969634.940	 4654466.829	4.477350e+06	 8009678.27	 7882565.355	 2226143.07	 4001578.68	 6914113.68	 8281958.36	 6445564.44	 5551596.865	 6753825.669	 4382834.94	 7104520.85	 3625572.80	 5680846.58	 8000486.22	 9796903.56	 6658185.95	 4885399.09	 7789545.39	 4785876.081	 5073449.92	 8727182.26	 7219520.051	 7898685.3	 7634323.958	 4354636.687	11619406.218	 7393321.76	 8722564.51	 7317095.67	 4670954.2	 7156602.74	 4215411.65	 7165322.36	 5245183.55	12325874.76	 8584222.44	 2771855.433	 4981799.593	 3794594.472	 4767501.187	 2557303.21	 6362504.52	 8905533.924	 5110216.74	 2876824.215	10578106.62	13496618.35	 5751465.174	 9494966.64	 4798724.257	 5650550.96	 5866269.366	 6612732.796	 3748090.82	 5568490.33	 5041920.15	 6794638.72	 8034442.81	10032871.82	10495910.66	 4238808.085	 5218184.32	 8594715.40	10983682.03	 9121889.97	 5466990.97	 7611270.03	 5262362.99	11306250.10	 4689225.96	 9116631.46	 5550689.55	 7152918.92	 4310493.01	 4797242.02	 5732182.03	 4422529.03	 8460166.570	 6115570.545	 4600717.06	 9212572.46	10124691.27	 8342693.94	 8146033.45	 4035548.79	 8254736.45	 3653772.79	 5267436.90	 7574712.03	 9331852.13	11203716.99	 4291712.39	 9878629.68	 4013268.882	 9935035.26
L-Leucine	 4494974.94	 7693548.0	 4569468.104	 5598202.83	 3588137.86	 1157794.88	 3781260.35	 3627420.06	 2845835.64	 7841703.36	13114556.29	 9153347.586	 6115498.24	 2266268.966	 2263778.880	9.988929e+05	 5833618.99	 3475552.315	 2733500.09	 2788987.62	 2885936.05	 1603655.60	 2730554.70	 1776961.169	 4787010.854	 1816502.91	 4188289.33	 3121844.99	 2940200.11	 3368673.97	 6273104.11	 1318931.93	 2057683.18	 9404787.87	 1551616.129	 2002596.73	17505997.27	 5577910.976	 5109987.3	 8836163.106	 6337717.550	 4964210.390	 2410369.82	 2578120.93	 5456786.32	 2569711.2	 2713565.63	 1833400.65	 4639337.77	 3260256.06	 5094200.52	 3260478.54	 1066095.359	 2032140.936	 2528114.382	 2421747.588	 1580513.40	 3085088.88	 8465906.858	 3131892.59	 1039652.036	16552899.78	 5594167.83	 4563840.447	 4189342.86	 2952755.486	 1929995.71	 7036093.356	 5574748.422	 1389850.48	 2756111.44	 1309828.67	 3246289.18	 4010831.21	 7408303.33	 2304911.04	 4816373.467	 1769693.32	 2430629.91	 7724138.90	 4344553.91	 3101438.29	 3608224.78	 1462675.63	 1804642.34	 4254683.05	 8372038.82	 1606954.22	 3124443.58	 1607938.39	 8220143.26	11412940.22	 1641011.40	 7054648.304	 5091041.655	 2140346.21	 2646091.93	 2652195.11	10371561.77	 6693634.62	 1486967.51	 4051846.46	 1456788.21	19261713.27	 3494669.36	 1107780.86	10976031.92	 2281088.13	 3824452.06	 1855519.588	 9968502.45
L-Glutamic acid	 2467230.99	11295279.2	 4814153.412	 7276669.70	 2642294.18	 9357902.29	11407073.18	 4291025.59	 2922141.19	 3503774.03	 6291137.15	 2582801.393	 3519736.97	 2813389.161	 2789070.115	3.724094e+06	 3471628.53	 2918193.297	 3382922.70	 2039274.87	 3327704.06	 6066042.22	 4108355.08	 3641993.344	 3979426.857	 3664199.00	 4073604.58	 3328180.11	 4436363.94	 4549489.35	 3904586.43	 9361106.91	 3006847.36	 5216741.19	 2455868.691	 2322565.44	 6971048.90	 3861885.395	 2161282.1	15076670.408	 3100411.744	 2604935.987	 3865735.54	 4127829.21	 4502333.88	 2655434.2	 3446288.61	 2186529.63	 3339636.95	 2753975.10	 9346719.01	 4734023.61	 2862135.601	 3302417.028	 3204194.592	 2885838.228	 2463368.86	 4389915.45	 3590182.042	 1728730.17	 3851971.733	 6579662.48	10373098.27	 3423360.539	 5255181.55	 2873264.407	 1840824.36	 2807646.764	 3925126.006	 3379609.06	 2155364.12	 3295707.58	 3141929.61	 4584577.11	 5397017.72	 7328111.00	 2443161.927	 2773040.00	 3687177.29	 7433119.45	 4477989.80	 3523988.08	 2041074.62	 5138376.46	 3846286.58	 5614728.42	 4544014.13	 4679131.03	 3517631.57	 4782826.71	 5335347.73	 2863847.98	 3384924.73	 3231210.486	 2779564.565	 3074488.82	 3318750.80	 6191130.81	 4613222.90	 5177221.60	 3751145.67	 3661020.48	 3819263.00	 2287696.49	 4155458.84	 3847137.91	 5902004.47	 2172640.03	 5249850.08	  721889.370	 1381556.16
L-Glutamine	 5022086.28	11489500.3	 1720820.357	 2366536.81	 4583532.71	 3584689.72	 4487310.61	 4785194.17	 3482730.39	 5400479.29	 3905944.23	 3690118.884	 3391913.35	 2224671.589	 2335004.231	5.471718e+05	 2943970.32	 2029362.707	 1217745.94	 3755052.54	 2012631.22	 1771454.26	 3124975.51	 4866411.644	 2289319.036	  755739.03	 2301847.09	 4052035.96	 1413488.09	 2197337.42	 4836005.50	 3842208.77	 2650241.12	 3448115.69	 3000452.178	 2690426.83	 2091710.15	 2238992.763	 5191532.2	 5894027.377	 3235553.658	 1010430.708	 2913995.41	 2661899.99	 2940182.36	 4907294.1	 2121663.49	 4115162.26	 4607026.11	 4583481.84	 2423525.84	 2380836.77	 1687824.850	 2854240.377	 2594471.979	 2238813.868	  696247.70	 1928151.19	 1979378.356	 5359723.34	  535089.168	 4834274.62	 2774582.49	 2795464.130	 4731847.64	 2274727.708	 3192489.57	 2755939.024	 2074806.587	 1460965.62	 1289146.97	 1989845.92	 4046020.18	 2828547.51	 3524195.08	 2007359.82	 2842413.746	 3183535.10	 1275949.14	 4063216.66	 2562744.29	 3523615.99	 3670542.02	 2368072.04	 1595869.14	 4540931.46	 4911478.13	 1581252.12	 2901841.03	 2573153.83	 1807677.57	 2814809.89	 2043721.78	 2186200.791	 4262581.852	 1061660.22	 3049044.86	 2521346.49	 2365733.78	 4314340.88	 2214284.55	 2121878.39	  981553.95	 4335321.88	 3755798.52	 1993521.06	 2897335.50	 1756387.70	 4411529.43	 5309416.436	 6131800.40
L-Histidine	 1046109.42	 1810763.7	 1720011.844	 1512668.31	  941606.18	11381189.24	 2438913.00	 2285500.48	  963102.17	 1497185.21	 1310019.93	  941427.799	 1095285.53	  759793.848	  704159.711	5.853515e+05	 1670604.02	  578041.864	  713026.29	  867454.16	 2033926.72	 4525468.12	 1057888.27	  676442.353	 1448424.966	 1448084.79	 1515340.66	 1262135.06	  672159.01	 1218964.42	 2450148.99	10672120.98	  944387.49	 1363518.78	  860444.959	 1195881.43	 1470687.91	 1510726.846	 1163372.6	  809289.260	 2108073.907	 1387882.847	 1070038.81	  815972.80	 1153160.71	 1092978.4	 3617492.08	 1030444.31	 1057207.85	 1837832.24	 3570063.18	  778742.57	  448646.629	  668741.076	  437285.903	  642448.679	 1024546.61	 2254002.60	 1704796.467	 1593757.91	  630815.781	 1136767.90	 3274419.08	  775593.278	 1153987.97	 2180937.718	  756319.96	  497474.484	 1148154.471	 2283808.69	 2193651.07	 2193635.92	 2479508.61	 1390187.97	 4293749.97	 3180941.88	 1469482.016	 1588659.79	 1208463.33	 2313838.53	 1399226.00	 3150232.80	 1372458.10	 2761240.47	 1554722.19	 1629015.35	 1548295.40	 2316102.62	 1307679.30	 2460825.34	  592740.56	  890392.01	 2125533.97	  700412.756	 2074787.137	 1246193.70	 1291594.18	 1498989.04	  937398.46	 3033100.41	 2933341.75	 1287748.53	  907349.42	  929033.71	  909643.60	  815474.13	 2295184.63	 1204375.60	 5321997.30	  527305.473	 1469161.19
L-Lysine	 7087062.14	 8679990.6	10120788.224	10384546.42	 7124447.33	 2614297.31	12115123.49	 9620910.10	 8937125.88	 7771079.21	10451011.15	 9535028.138	 4937873.65	11376053.950	 9695876.359	8.349087e+06	 6567615.59	11470711.425	 7599441.52	 6879228.21	10733052.21	10970890.91	 8928741.69	 8967607.832	 8729426.970	 7088876.36	10165768.35	 6604626.36	 9474281.08	 7828176.21	12126568.98	 2520643.02	 7587804.10	 9078705.95	 7033395.641	 8363575.65	 9836003.24	 7567586.692	 8354744.7	10792507.471	10110072.313	15144277.199	 9890193.49	 9944967.42	 6302194.08	 6815216.3	 9310833.28	 6528366.15	 7137298.85	 6990475.45	12974873.10	 9538323.41	 5570949.425	 7922343.252	 8060503.068	 7695188.408	 5577929.68	 7648311.16	 9588120.426	 6206629.27	 8810684.046	12572751.25	12864258.73	 8678762.079	 7572725.47	 9415986.295	 7484192.73	 8776605.142	 7449655.694	 7677461.57	 8949321.31	 9653191.38	 7515972.15	 7729221.01	 8997122.51	10670596.19	 7783448.375	 9006571.91	10472267.24	11941639.89	11428046.31	 9095197.15	11047335.89	 8458496.34	11908581.29	 7480649.32	 6316917.23	10582409.08	 8369024.98	 8324169.07	11756933.82	 7481205.91	 7158019.40	10658223.687	 7196531.019	 6092256.48	12390326.99	10536553.92	12772473.33	10267686.26	 7169050.01	10138975.17	 7711730.72	 7039952.98	 8028856.06	12056867.48	12189293.07	 6732488.69	 8857100.49	 7596704.003	 8322117.92
L-Methionine	  148877.76	  822142.0	  393533.328	  529186.29	  227136.30	   54955.99	  449735.09	  299583.71	  152065.22	  742324.22	 1461994.77	  827338.529	  445691.45	  161097.585	  565765.530	1.971148e+05	  671434.57	  593821.713	  277737.47	  351893.91	  233608.55	  242565.24	  358893.93	  383293.257	  334112.976	  211362.29	  690859.52	  371094.91	  342704.59	  358257.76	  105221.19	   77028.96	  300615.79	  372558.21	  262443.285	  154348.97	  354208.89	  455930.083	  264242.9	 1197546.760	  696293.045	  492964.498	  175445.82	  157951.13	  502232.70	  289656.4	  300121.74	  264623.62	  425745.97	  388342.49	  127122.90	  183643.70	  239372.549	  368274.507	  307520.610	  392809.771	  333145.83	  516751.61	  668503.040	  441555.44	  172707.141	 2276674.90	  554914.14	  576311.020	  356764.86	  517123.748	  197415.46	 1089873.132	  469353.052	  256895.95	  166114.10	  150064.23	  260403.00	  413245.80	  705883.75	  344949.55	  787619.160	  247509.77	  271654.70	  628824.18	  183907.46	  433754.94	  564332.46	  226423.38	   88180.87	  304552.53	 1084067.11	  211412.10	  302199.07	  191646.84	 1275313.27	  245642.96	  255298.67	  750480.009	  578809.139	  269892.58	  108877.36	  244766.84	 1475413.07	  415289.65	  304892.82	  504863.12	  124992.97	  658177.66	  265139.03	  169046.00	  373965.02	  340135.40	  442572.85	  307080.899	 1115002.17
L-Proline	21300111.38	12733222.8	55449064.276	15857510.08	21290462.27	 6900413.82	25697006.84	13275217.54	41281778.41	31345785.72	25720478.03	49080867.759	43824164.78	16511455.147	14772594.152	1.220483e+08	43633398.82	21182647.502	38666560.88	34990935.04	13406200.24	15921928.22	14417076.08	23359216.358	14460317.373	18779216.81	19360819.30	37007977.06	14892315.59	15587220.43	15675495.97	 6422410.73	15881893.90	16091505.17	34379107.795	39972225.94	16948560.75	43565133.671	13391086.6	22259357.564	27003525.101	28161809.747	41812351.46	14580460.20	73416065.87	22301685.7	66541297.90	53441574.15	15811262.95	11310957.84	17203479.30	53098719.00	69936914.936	54527491.894	61419402.289	37286816.231	21395121.08	27952971.41	80577035.926	13319801.12	41342302.180	28708584.69	26186005.16	22038464.246	12588456.61	18566831.986	13193049.49	54599102.287	45186243.989	16461339.42	12486153.11	27362608.92	14837057.02	19140539.44	23449078.04	16530238.34	24134931.628	15779622.97	27313934.26	18985765.34	23732365.75	16521306.22	14285254.26	16690967.87	32339378.02	32767208.89	48934291.07	27324742.47	62563820.74	14571991.69	21524557.69	12685703.38	16908091.40	14824501.222	62313491.085	31480792.26	27479413.09	17005010.17	19817650.37	18817815.94	22717565.60	47035728.31	20871696.91	30786392.04	18838795.62	56346819.45	16813174.66	22783080.03	17178234.81	53102694.323	17729266.03
L-Threonine	 1382129.99	 3328690.8	 1045676.886	  950597.38	 1254161.58	  759947.71	 1184666.04	  928081.32	  938035.21	 1655773.15	 1911338.54	 1952140.559	 1168939.41	  586347.481	  986059.626	6.179845e+05	 1105307.33	 1262634.781	 1086003.69	  744146.69	  968291.68	  637921.52	  923874.93	 1578549.380	  930567.557	  659203.08	 1077074.68	  905242.47	  857313.34	  827787.36	 1706118.80	  641073.39	  794545.83	 1268830.79	  807365.540	  811575.27	 1156147.05	  829386.100	 1267403.0	 1810641.104	 1309221.701	  948239.953	  888778.73	  902898.06	 1347135.61	 1171925.5	 1103338.88	  947254.75	 1327023.39	 1240195.91	 1109500.87	  997959.50	  868111.429	  952953.772	 1801088.713	 1099022.294	  676859.44	  708781.10	 1597393.541	 1437337.07	  722718.769	 2057270.14	 1278057.14	 1355080.636	 1171653.61	 1112603.623	 1003458.28	 1372989.354	  992525.147	  496543.16	 1144614.97	  702802.45	 1447679.73	  879222.24	 1293955.78	  776335.99	 1122247.919	  795536.63	  669131.11	 1847447.19	 1188287.26	 1084855.37	 1395931.04	  614121.75	  820249.30	 1027320.13	 1506980.61	  507299.96	 1074052.70	  506802.55	 1122410.48	  973339.53	  530872.57	 1051211.053	 1539036.990	  754280.52	  892947.57	 1032654.61	 1127103.05	 1399034.79	  887160.63	  976847.60	  625919.88	 1775329.41	  917309.31	  779540.03	 1278720.18	  869393.23	 1000186.40	 1560454.438	 2257556.61
Thiamine	  407567.73	 2558111.3	  250806.675	  568414.41	  544642.37	 1742219.76	 1128123.68	 1663451.04	  610097.20	 5797994.38	 5088619.57	 4577377.623	  806185.89	  704475.402	  885715.153	3.988176e+05	  841287.11	  551194.119	 1393204.14	  437486.41	  402106.99	  679775.57	  397258.47	 2024028.234	  705682.586	  332742.46	  783712.07	 2424759.57	  735940.21	  196521.60	 1018567.31	 1147837.92	  440823.17	  609706.26	  437365.306	  413869.63	  323857.37	  623314.551	  865189.7	 5537109.033	 6454116.016	  776722.779	  448822.47	  626680.39	 1314499.49	  713251.3	   59263.53	  371526.70	  856418.33	  743807.82	   84382.03	   52817.84	 1655512.329	 1115781.465	  803928.294	  635443.616	  786082.22	   94751.08	  317221.806	 4411537.76	  996705.197	 5155233.15	  486403.02	 1539648.529	  633621.06	 2461460.113	  287922.37	 2234744.503	  577744.142	  385192.43	  271272.12	  251141.76	 1242454.46	  911624.24	  203810.66	  455796.48	 7820952.879	  278668.52	  117566.92	 1040233.35	   16185.94	  550048.15	 1493021.98	  381920.32	   26189.70	 1112766.25	  512785.70	  308916.20	  327232.16	  365657.23	 1825432.15	  268766.51	  333257.01	  487264.724	 3107009.983	  548102.89	   58423.33	  245029.18	 3528561.50	  496498.55	  312300.52	   43536.24	  269355.48	 6342834.24	  804103.65	  190224.20	  792366.58	 1792615.33	  660915.55	 1750140.829	 3394150.92
