genome	D300530	D300531	D300470	D300477	D300433	D300479	D300436	D300445	D300521	D300514	D300443	D300526	D300474	D300511	D300489	D300491	D300488	D300508	D300502	D300438	D300448	D300518	D300500	D300522	D300429	D300472	D300471	D300431	D300463	D300452	D300453	D300465	D300422	D300437	D300523	D300426	D300440	D300485	D300447	D300461	D300456	D300425	D300424	D300450	D300481	D300494	D300423	D300441	D300435	D300457	D300432	D300444	D300482	D300501	D300512	D300484	D300495	D300478	D300458	D300427	D300490	D300496	D300467	D300418	D300519	D300504	D300527	D300439	D300475	D300506	D300473	D300486	D300528	D300449	D300492	D300446	D300419	D300529	D300480	D300517	D300428	D300509	D300516	D300510	D300483	D300466	D300421	D300454	D300525	D300468	D300451	D300498	D300476	D300487	D300459	D300420	D300430	D300462	D300442	D300507	D300434	D300460	D300513	D300455	D300524	D300469	D300520	D300505	D300493	D300499	D300503	D300464	D300515	D300497
D300418:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.836743650043886	26.104081660000134	83.37696729713976	27.945669433780225	23.799940369707812	35.40540223647096	28.03553362411476	83.03216685761761	49.14273079938092	127.43638318827763	44.424400179560884	34.88573094008161	36.62924698331022	122.7311176324764	92.80039597194026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300418:bin_000013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7121258365469195	0	0	0	0	0	0	23.220832097338654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300428:bin_000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.924637087211407	6.827628387290043	40.09218962583265	28.253915172646217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300430:bin_000010	0	0	0	0	5.068531401423342	6.244747769655587	14.24324898887277	0	3.2262106036907725	13.061234758119173	2.7885219649022726	5.782518178298267	12.39508034704539	6.303076265883311	10.402115086904628	3.951743124034939	21.31814071212413	3.153687340600432	7.472245232257708	14.44867325579303	9.764900006864137	14.037074998350608	9.65868916326181	0	4.21849478159052	0	12.119082098399723	1.4865019762714147	3.0900607975859566	18.025854468319345	0	0	0	0	0	0	0	0	0	0	0	1.4393693524987121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.218850650393555	8.18138379650702	2.7994679294899947	2.5550580352709966	5.870235839720423	0	3.7412707181952256	1.9289388645386067	9.403683175469311	7.6968624233865786	4.24943337556221	0	2.860545412258014	0	14.326218400816233	0	0	6.289781167342973	2.60778859527121	4.819473220872572	3.286938215444573	17.597362439047473	10.291955698998969	10.220981864685886	4.596655366388259	7.567160240258092	6.932594183610975	9.753904060702954	0	0	0	0	0	4.904541858901352	6.3362140490872365	4.896644770294685	74.14526511226195	235.59009578468738	27.258650644129197	0	6.557682401088132	0	3.4882639933411217	5.960102708801355	2.257667673184486	7.633385825092483	16.83874211707284	23.43910878189574	10.233177368610106	7.759339390211475	12.926734343938534	5.729737636724594	12.526381940524594	5.296297431680188	0
D300432:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4095282182895057	0	0.9506145500817982	2.719675225924115	5.865745214193698	119.56992405458169	2.7261146132235683	181.50148266892572	32.53425306863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3682857313552015	1.6203644907857735	2.858014729740704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300435:bin_000001	0	0	22.855377377687237	33.22031028666201	13.825665469590039	51.83786355211998	38.937601693244076	49.22846695887802	15.501644769147008	0	1.0010622058212337	0	1.4472357900509343	10.458209821789834	28.80594945251618	18.509898862606978	0	11.352206866154997	22.0756931639356	31.838539215586145	42.28013243003937	22.25429223073436	11.077148983008636	1.0493800002042704	26.903053291777415	3.415125276648835	8.69844039587594	30.19007748917171	94.60294165017446	54.098900632688135	27.46359863076013	41.678929434807515	22.929857490004505	13.905095209624593	34.742438658006655	48.34207112850727	38.81627689003106	28.955381070266647	18.460107964736654	31.296024663287827	32.859989173671444	18.791497325236897	19.83622231842134	32.56112593817051	35.70985518017824	72.61775596449782	88.24915168880513	66.72051023590869	69.955386569853	48.62655687397227	0	0	0	0	5.595259513695149	3.993937098873921	4.420194323955491	14.853302462321942	17.090416342256546	4.419192613584136	11.80710122302944	7.228224191423317	11.612415866149497	11.70899253077608	8.73008265878288	10.186333842176014	1.7129836591576364	21.44155157472799	7.428035948439022	0	9.760489086070885	4.880097232686714	13.430284493602018	43.19422260597114	17.551851278614546	48.52762324376603	6.106308575505	5.731786744896974	28.447042518873406	16.463286725648423	35.04448379704013	12.310725843263361	26.633593201882746	25.525289062186967	25.900105513492452	6.400693576404575	16.025951762342448	10.712113938858742	6.514063620786238	23.2809864372344	17.42534115112628	10.97921706317375	14.138965119266388	20.27314481275087	27.775307328670213	31.738839571566512	1.4656790457117763	22.71048291867762	33.161503995449486	31.014602973076386	52.392457553014054	44.69702385956257	24.963859861111878	47.3863805100945	10.62060475022843	27.307331812828654	18.63293246586525	12.471706592354161	1.84868595240658	6.176369377360404	7.833728648838056	2.830774585311548	0	4.341884142571277
D300442:bin_000001	0	0	14.10542111498074	15.197174310496479	13.509982228394257	11.02231361080393	13.43644021453316	5.310613390680739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8941154236669515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.09636811402658	0	0	0	0	9.237882643707591	0	0	0	0	0	0	0	0	0	0
D300442:bin_000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.11570620947071	0	0	4.91211349566393	0	0	1.5383024773644756	5.09653555241596	8.881806139564567	0	13.367817563865453	11.17432870161414	9.467348793856658	12.70439149118406	0	4.123989982219069
D300443:bin_000002	0	0	0	0	0	0	0	0	4.360638066391791	1.149584852058021	63.425723937275755	11.96085350813819	9.121226016258957	0	0	0	0	1.3154475661421359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.154644693486668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9103814972163455	0	1.101488557159342	11.463543379151155
D300443:bin_000003	0	0	0	0	0	0	0	0	41.793167833069184	9.263292692241594	59.988882974660584	33.42554755676068	29.676863339953027	6.697381203574634	3.448873617980103	8.337321459260249	9.878622730050221	4.879541689740114	0	2.147232857224694	0	16.857912720311635	0	0	0	0	0	0	0	0	4.8858968330500865	2.777108117397697	0	0	4.974466048616548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5917348526800206	0	2.416834148064695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2265874133552293	0.9601636941702152	2.313719710133858	3.583719017930455	3.3357789197807866	1.9418543174397067	1.6223069707269568	1.280471867898948	2.0745514999331665	2.8203857482480093	1.167019133456816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.690560613149	22.189654184727605	13.147448872424526	4.594097295155531	9.823932693960167	26.808008435333882	1.1131794334434493	7.442275606752086	4.235434488915198	3.5444245402814643
