genome	D300530	D300531	D300470	D300477	D300433	D300479	D300436	D300445	D300521	D300514	D300443	D300526	D300474	D300511	D300489	D300491	D300488	D300508	D300502	D300438	D300448	D300518	D300500	D300522	D300429	D300472	D300471	D300431	D300463	D300452	D300453	D300465	D300422	D300437	D300523	D300426	D300440	D300485	D300447	D300461	D300456	D300425	D300424	D300450	D300481	D300494	D300423	D300441	D300435	D300457	D300432	D300444	D300482	D300501	D300512	D300484	D300495	D300478	D300458	D300427	D300490	D300496	D300467	D300418	D300519	D300504	D300527	D300439	D300475	D300506	D300473	D300486	D300528	D300449	D300492	D300446	D300419	D300529	D300480	D300517	D300428	D300509	D300516	D300510	D300483	D300466	D300421	D300454	D300525	D300468	D300451	D300498	D300476	D300487	D300459	D300420	D300430	D300462	D300442	D300507	D300434	D300460	D300513	D300455	D300524	D300469	D300520	D300505	D300493	D300499	D300503	D300464	D300515	D300497
D300444:bin_000010	0	0	36.54692059188071	98.81976241725063	14.721725764270786	29.413669262700534	46.92742382306113	13.774462105701561	9.636321794802846	6.186315979053296	7.645224894409751	6.34648359771022	13.962301435927325	12.212792647892009	14.625109279810093	16.625539520206914	6.885190850387654	6.3526745569086724	13.766441999467203	38.29145785207485	26.330477779459272	18.284904190216285	9.992536454744087	10.12264040032368	28.049922894417254	14.423809303448301	26.354256690926054	46.54813376974384	43.24474112410309	59.3867761111521	25.252547360837866	33.03570870223737	11.95821290145869	15.24453350809765	25.170751657488623	36.04019996172862	25.478798778817662	16.01530792830494	18.974867832401355	25.242229095507113	20.642440213469275	11.405669792996836	16.867971854273573	17.58330904893109	36.760274178197065	47.35675746323258	37.60806037873662	44.72362995323637	41.55568799066478	32.69332989808055	76.96666137204163	60.34402972660974	38.637166641861135	33.80685833209306	7.378919846464211	6.286403152761605	15.828688029436448	17.971322726573472	17.028139472930498	16.509834244884328	11.646976498118324	13.205738081152845	57.86272142059376	16.554437291836813	17.35049146210445	10.673119855719383	12.739821500263272	38.22190336350436	29.040898477024037	21.501107493812167	26.437412529250718	11.840397071863904	18.981574704866343	28.558613375223405	61.981444632188236	33.19428167988864	32.52335992735941	11.485026633631541	16.51438366187107	12.084564750554373	43.03968905125739	29.98211188001296	35.914176421075275	10.965830282670442	8.615704649973173	16.91341912293494	21.476812669078846	6.602142071882664	1.4981652248193678	1.2232303549608343	8.216856793733498	0	18.118592513566956	21.346380415056913	30.011987948266093	30.89560667022699	9.537407151245759	36.44950678691719	49.22652094357722	24.263400925266993	29.01646294867257	46.145393113402115	31.48510792905536	35.47827661205699	15.74778344900213	31.703339240800798	29.894688031937843	11.459793784777244	12.173489437223049	11.844993390056693	13.316659433458444	21.848692331840414	10.657548655311155	21.035941332219377
D300452:bin_000016	0	0	226.5363297507923	118.59132551849686	127.11411452637003	58.30268362013831	146.77925895467183	118.13855774041618	17.780813290383612	10.198660890011718	33.71311217827561	31.802560977910737	42.279492853243774	20.971463072978306	30.78736310102011	22.862658271909204	26.989292715442055	23.793698206430616	39.633348536198326	42.89459079461103	32.76248852465629	23.33777491214978	12.169784988981718	70.64296407721321	50.54635973795553	48.97237524487782	18.67636180042694	61.93643944564412	81.28603225392992	48.966779896564134	51.8134133511517	46.326588769875684	32.10497003560854	28.70137170614532	96.42710985295295	109.66996553655812	116.92960466261677	105.58672757355119	113.08817032760764	115.62702709384766	145.05611939172059	74.80011268771256	101.87496218260225	103.83658720187691	110.77416848895017	46.41920479690512	40.835209835321095	79.49012063180591	87.45278924860328	63.79279384199387	0	0	0	32.56112104755331	29.730297705061382	16.885557560193913	26.316484611816204	46.62668811983935	26.38854098690233	29.813642370059423	24.696240901866048	13.637100022056082	47.8102669436581	40.34168059539711	33.11678467863507	44.56265521398629	15.26885973958208	64.8455000712431	52.079647831379624	73.07843702402941	28.51591193442252	36.755094857419465	24.29796270765411	114.51407327694177	41.22812039888327	89.12039823265069	52.093701264353534	20.437692868728575	67.06965102593314	3.7265345080094807	4.971792287658158	10.152792046277435	10.402793510176702	27.102826236458117	59.10376183074592	50.29785470441922	81.0926674261593	99.89895841940519	108.15775759259488	98.016969520316	95.5121728103808	60.6720533822254	46.653461210898435	34.45836703012574	44.343395634717446	52.086576954582036	35.79786739154621	129.85710391277502	151.8671872509338	51.64395887809363	64.54881648623837	71.69664623930784	50.33425699955302	50.337867951081044	54.8353568758698	72.33858233392388	75.59936915700872	40.51689307224311	10.438057216990861	50.18015720326274	17.827007445066368	22.344633117565426	13.554796352093149	13.96729063475323
D300458:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380.76536799915385	150.89957516638546	348.40361349896745	277.70709483432313	313.2517896513941	198.4033824437021	48.08683673018804	136.42419384817924	150.27811352104607	124.37281331864165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.46942522692194	109.58458317116677	199.5167607489477	160.86922477364286	134.99573317943342	72.20007229462524	49.52353837006428	122.31642145712694	242.9911182356004	283.8532419107552	256.16149941517347	112.11255882923784	120.4286999393095	256.2204955262566	494.5178800833442	67.16044888390039	126.32453714495792	22.68947301941994	35.381723836585394	0	0	0	0	1.5193424064457233	6.474553626900173	20.01593254418547	73.19969439090238	126.85573319997167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300462:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.01845834538371	68.91571043364353	76.64450460182712	207.2325134822477	84.34373989894695	201.43812413875233	56.67371259420562	95.99790961365068	178.31442132661917	69.78503895816677	113.07677012980386	77.86481813851415	236.21870800088467	178.39241208894032	152.30091356050426	107.67695981694766	249.67868018577434	345.8799931100186	257.0527147377554	19.766165937973156	190.2767794865688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300472:bin_000003	0	0	0	0	0	0	0	0	6.910970403226355	8.157336043215796	5.632313270818341	8.939370439475928	8.733800971932729	131.59293591813326	73.0478691376076	19.440176920842323	31.27535813468006	4.038639466113992	13.434066790196997	98.56061971009655	27.178583236291697	51.503049871460874	22.36414200806159	61.447701214683086	16.586543886162012	77.76726269514145	14.13899920372726	34.19040410752082	25.75388903833679	76.32204378819503	11.129496585841819	7.4624510657625285	2.44292393643143	1.5850233383492904	7.359129035944031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0188898962194775	3.217274999220921
D300474:bin_000012	0	0	0	0	0	0	0	0	8.07239825964886	17.043111845750666	19.890243245873254	5.968337005602203	47.721415408013094	6.221243693634798	12.159685343015774	8.258040396183695	6.879744090400347	19.495534255764472	4.286673058164526	5.666273523783027	4.676516528888311	4.569725902386646	1.6897397064169013	0	0	0	0	0	0	0	2.0245075041022518	0	2.6701167824972387	2.493954884764103	3.234165911201429	0	0	0	3.427933966709147	3.191730556565258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8666038440612742	0	1.8478941664261774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3748352662208225	8.705467539628904	1.5188446080180418	3.3053429422046525	3.351088856422369	0	3.098182168389774	0	0	6.2249555331656214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300475:bin_000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8879549321818345	3.678664712808735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5780477877424983	7.387742295533009	1.7990733198536737	1.9683209409336448	1.7457747653266926	0	0	5.001092328911134	2.2829420802098896	11.480858393115744	3.233952522468775	5.913934619426018	2.684620059619363	34.44645282026146	7.121097458548526	12.528429697356463	3.1572360581068293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300479:bin_000001	0	0	1.4855354337722277	0	0.7900716135944835	37.91440144287826	15.429951874881901	3.4779369477028714	4.812717758822466	1.3118432481442714	0	0	2.742390315457137	0	1.75653849262883	1.2316003931565227	6.5355063692283455	1.7581603405159743	1.5607582833950064	3.023587846747217	2.8098128490512706	0	1.2225643834995772	0	0	0	0	6.529945747900994	3.091396534600194	0	2.3802548515133903	1.217930532393451	1.716841834819684	0.7781008315703246	2.0539545027903507	4.659414518061465	1.353084522988793	0.9178114424200237	1.9296128314426364	7.941648487382281	1.1483455349497922	1.3221149514295174	3.3583835891648204	1.5693309079413396	1.8213351772628255	5.521310823800901	2.808345462867664	2.2887362921674015	0.9022880412145016	2.6733459339758596	8.985500679888933	26.718708247070765	20.285532756436034	6.424602866088397	0	4.883229526487351	5.203505868772426	1.6840187228179582	2.251511021614856	2.9984105890705988	7.064460472992629	3.3315844836010586	4.742128760305814	10.600243328670306	5.2152449582412785	0	1.0379826477722247	9.859522229356065	4.4048616306316095	0.7621140452541899	2.1082477915837936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.524076203166568	1.4941852891703296	1.2574727284990597	0	0.7767106762384869	0	0	4.710618572784157	1.0711919140327943	0	2.0871637690509206	1.2902958405007856	0	3.5862146018826824	0.9254572967451316	0
D300479:bin_000005	0	0	5.342783155826278	8.753486422325913	4.05747499812704	21.699172294602043	7.308790788353219	0	0	0	0	0	0	1.8539731631980207	0	0.899878700811921	0	0	0	8.134723308030738	1.3892359981218927	1.2601733188681716	1.9743287225153825	2.7775283674822098	2.1431095941881617	1.6131333679139914	0	10.944463730055833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.423259247990785	6.312275923912639	10.321582962982873	7.364722238584808	4.8729847092107885	9.989082501176677	1.2919993434631405	3.5998579409791662	2.377472664790466	3.437811147286724	1.9554132550674295	1.287753014036049	2.0341633644425814	4.658652303683755	2.1392064024925523	1.0687024647011356
D300481:bin_000002	0	0	96.12567366695113	26.52658302837145	87.36752882931918	117.5847832437822	58.00346161953907	262.19429534318294	8.024219813857458	2.612583973250567	4.669526157358297	11.981273905814396	7.630847795157799	3.2961809667184294	35.70544986480908	4.002959355963888	17.107717574683747	20.949118869723947	5.582141106918426	11.282781848831542	8.856106569349992	6.925696170528312	5.064575777068177	0	14.919515820624799	2.408221668369121	4.619960672965409	92.59854296115896	54.3790300551541	5.241486429055101	69.41475787303237	38.314373617673716	25.39288060022192	32.2627584098647	32.66726359890492	117.60618536576108	36.391181986835406	46.5897252191218	49.7327869663619	88.87274362664125	51.88382731622474	28.02290145669993	29.87166860635753	17.282086406958214	114.73291236280104	91.23836439662962	120.47574731194092	110.99613236712553	56.8747919944202	108.64881269906685	50.273025328047254	124.62765730305472	137.5151916091481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.984160735189155	41.056031195922785	10.860992285746628	27.06326284245937	52.6221751062989	59.0307634745252	16.26042739173373	14.470681295799356	35.87651433145736	28.675945777224076	45.16762792639703	49.39284399801806	61.46735185088533	54.643226796066756	52.91885630313674	66.03327343676393	200.67793720824147	174.09355319960875	0	0	0	13.743822530825495	10.74640705310912	29.335649665394854	12.329909897574833	21.045097982066277	8.9907721777159	5.082826042603609	8.003224383032574	5.124969413436126	1.7965581727637578	2.7140025797775533	9.821184677775209	6.635979559702601	5.614066362506871	8.65840383211518	12.07938814671519
D300482:bin_000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9203455656731547	4.794031312767688	3.860142538946128	3.177137177474686	3.372313681598676	5.259424538795658	5.156058774460009	4.456192968610199	3.885275841366149	7.725275769428253	6.656728246504793	6.596435297407748	4.996941140713222	6.1318513727099395	8.450634567178156	14.574842538436569	0	14.196718972511032	72.85933053994486	2.349311839089314	2.2901878808025034	0	85.85037037525504	9.317396291781305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300491:bin_000003	0	0	0	0	0	0	0	0	49.46087819470499	8.340547207293717	39.195431431309935	0.6408597390868217	59.76666315641047	0	35.714387707201794	65.84657562608989	0	37.67132578806739	0	0	0	0	24.889025332745515	0	0	0	0	0	0	0	0	0	0	32.59835113152216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300492:bin_000003	0	0	6.165764322421458	8.684114569117177	4.660074441515214	70.0091053777827	20.38662115686856	39.284879493235515	35.035497099640104	48.930804256093055	36.79566404262487	61.060153702637486	71.1262257500325	31.779819358232224	59.37856927642257	59.53134599440287	78.38445444491127	32.449829187455876	48.4426154602016	30.38338496264503	71.10089114474113	45.09039477648695	29.02843598322246	21.97369845727334	124.75754933537378	8.869328629943755	8.594900566198268	44.6805622955324	96.0106893938183	52.51307220392669	37.278107311959175	44.19174013450866	13.748275965029801	10.423154260903608	8.555948610562782	42.69247438565844	27.92950223834254	30.136010638121405	25.50425666609262	51.567458061426166	34.449272429344354	10.276123069480457	8.689769614941145	34.45800382009656	89.62048761273523	54.19234937144543	21.913257327506777	39.91575640535731	28.820420777633647	28.074497613269063	118.40648047139257	44.606141892488985	70.1569961361711	41.621996831364726	1.761478913615933	1.3379386015840764	0	3.3531254910464794	3.395379993443163	0	8.811104278140187	13.920913203943876	8.920088321259685	4.055844105315955	36.5151285293895	3.7762133994124185	0	6.151106443645735	0	0	12.831615657147994	13.204305797130736	116.37003060963204	48.116477657441756	362.5026427914151	32.673678521351796	83.20581079332602	2.2697996726407075	3.0808689648973964	19.20869773191946	65.77184740243388	27.301294507849658	48.31752584657544	52.66811094023657	15.781875683695041	50.84519560878906	84.8630559023146	5.798683987896091	50.990010022249216	48.65185215568839	38.89916012767435	0	5.6559958716657475	22.120277245030575	140.74997368518677	42.75603710071984	7.113685723618156	12.60536858382271	18.265662290314673	13.522797977936575	17.465134003473857	8.71854248809349	26.014703722347203	22.219987012998764	22.74210608383402	38.943540927300845	29.176824385643364	3.33882953520349	18.799227173897638	7.94099630748128	6.478058573004229	5.682371005388731	1.5781197078196165	15.480891524760205
D300493:bin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.75476347193302	76.53893115201758	54.33264902136864	31.82150958077532	59.56668126640942	120.23600198687002	107.31175507667312	77.99223358935899	34.15356156238454	76.02699402715552
D300499:bin_000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.545042181312926	0	0.9814905513809898	12.856545690954455	1.933823173439424	0	0	0	4.74680767980293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.46457637202618	82.09379981760628	75.82008980101587	22.092531761008686	55.264007663387005	72.5729802205288	63.60586638369672	38.55559260880282	36.67005879998103	46.52237935584199
D300500:bin_000011	0	0	0	0	0	0	0	0	97.00321584473129	54.815519067138965	155.91685276468638	119.64192908113401	82.66432647298282	77.30461481700904	9.057046212025805	73.7357898863191	155.14898779823721	123.00224736639522	60.369901963740595	136.21559108219472	152.3829710999679	78.90375702191137	74.05923681778594	117.96890936213462	0	74.37195244168288	47.51849598507195	0	27.903439517108897	12.921558576088518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300506:bin_000004	0	0	39.870456163621995	0	11.170946756527421	0	53.82215763345005	0	0	0	4.4391538003881825	3.933248154180768	5.9025056325527405	22.847974719347697	111.20432267943703	23.185459723590398	72.28487549863941	2.6389021642657196	9.887953652137444	19.536326307678802	4.5419734904270985	3.8292580635722575	12.229574071726047	5.3922109842093455	10.338674911488456	8.852207668074398	7.442109061826409	0	12.137287986813487	0	44.27402978669449	66.31998751572725	38.62029279520916	32.466034000136546	4.262189234265427	117.36572091798418	100.80636697909858	73.77625842444576	64.00780267046396	92.12930975626408	78.70973090540237	65.83748988091173	105.5389987223127	62.90470013362073	141.3208360561402	139.33068692760096	155.37974621814314	129.33055038086783	153.5780315813087	122.09027689726808	140.70304011547952	29.49889299612792	173.65560963239668	111.8536609154483	65.58433223770835	6.067180992694749	65.18077812131202	24.63195778755279	54.856733216943496	10.089672190307132	40.16311482604921	19.904358766787933	68.5280067102966	57.31211657189673	72.90635820109432	53.70301085546528	50.17741321967443	86.81768085127135	113.48408742892254	139.00157028743087	97.42180261194393	80.81762233124286	109.48166860107871	6.7485882043129255	0	17.441309288103852	0	9.682021671917212	0	0	0	12.818461118317744	112.5543797364648	10.193428200801725	37.710950072662364	13.44409874279472	19.73546996459538	56.10689658535633	8.903529733051137	9.292336802270576	66.04605526241356	38.671497820128934	69.3479893493548	77.44212856850257	98.44918023193438	101.76668064645123	16.981868544509357	82.75522047420729	6.151683913819504	46.74901735118844	55.40740668493792	32.95578811848355	44.92459694330384	44.191048386310214	30.551843868564013	27.007402783602686	17.199387490368576	22.161359225194822	0	0	0	0	0	1.7342995640257877
